Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00001_dnaA_1,TIGR00362,TIGR00362,DnaA: chromosomal replication initiator protein DnaA,TIGRFAM,15.0,8-445
OFBKKLGO_00002_dnaN,TIGR00663,TIGR00663,"dnan: DNA polymerase III, beta subunit",TIGRFAM,15.0,1-377
OFBKKLGO_00003_group_16074,TIGR02988,TIGR02988,YaaA_near_RecF: S4 domain protein YaaA,TIGRFAM,15.0,5-63
OFBKKLGO_00004_recF,TIGR00611,TIGR00611,recf: DNA replication and repair protein RecF,TIGRFAM,15.0,1-366
OFBKKLGO_00009_guaB,TIGR01302,TIGR01302,IMP_dehydrog: inosine-5'-monophosphate dehydrogenase,TIGRFAM,15.0,10-456
OFBKKLGO_00011_pdxS,TIGR00343,TIGR00343,"TIGR00343: pyridoxal 5'-phosphate synthase, synthase subunit Pdx1",TIGRFAM,15.0,9-294
OFBKKLGO_00012_pdxT,TIGR03800,TIGR03800,"PLP_synth_Pdx2: pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2",TIGRFAM,15.0,4-185
OFBKKLGO_00014_serS,TIGR00414,TIGR00414,serS: serine--tRNA ligase,TIGRFAM,15.0,1-417
OFBKKLGO_00022_dnaX,TIGR02397,TIGR02397,"dnaX_nterm: DNA polymerase III, subunit gamma and tau",TIGRFAM,15.0,3-358
OFBKKLGO_00023_group_15927,TIGR00103,TIGR00103,"DNA_YbaB_EbfC: DNA-binding protein, YbaB/EbfC family",TIGRFAM,15.0,1-106
OFBKKLGO_00032_tmk,TIGR00041,TIGR00041,DTMP_kinase: dTMP kinase,TIGRFAM,15.0,2-197
OFBKKLGO_00035_group_5764,TIGR00678,TIGR00678,"holB: DNA polymerase III, delta' subunit",TIGRFAM,15.0,10-192
OFBKKLGO_00040_rsmI,TIGR00096,TIGR00096,TIGR00096: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase,TIGRFAM,15.0,16-290
OFBKKLGO_00041_abrB,TIGR01439,TIGR01439,"lp_hng_hel_AbrB: transcriptional regulator, AbrB family",TIGRFAM,15.0,8-49
OFBKKLGO_00042_metG,TIGR00398,TIGR00398,metG: methionine--tRNA ligase,TIGRFAM,15.0,8-524
OFBKKLGO_00042_metG,TIGR00399,TIGR00399,"metG_C_term: methionine--tRNA ligase, beta subunit",TIGRFAM,15.0,533-663
OFBKKLGO_00045_rnmV_1,TIGR00334,TIGR00334,5S_RNA_mat_M5: ribonuclease M5,TIGRFAM,15.0,2-177
OFBKKLGO_00046_rsmA,TIGR00755,TIGR00755,ksgA: ribosomal RNA small subunit methyltransferase A,TIGRFAM,15.0,21-287
OFBKKLGO_00047_yabG,TIGR02855,TIGR02855,spore_yabG: sporulation peptidase YabG,TIGRFAM,15.0,4-287
OFBKKLGO_00050_ispE,TIGR00154,TIGR00154,ispE: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,TIGRFAM,15.0,1-287
OFBKKLGO_00051_purR,TIGR01743,TIGR01743,purR_Bsub: pur operon repressor PurR,TIGRFAM,15.0,3-270
OFBKKLGO_00052_yabJ,TIGR00004,TIGR00004,TIGR00004: reactive intermediate/imine deaminase,TIGRFAM,15.0,3-123
OFBKKLGO_00054_glmU,TIGR01173,TIGR01173,glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase,TIGRFAM,15.0,6-454
OFBKKLGO_00055_prs,TIGR01251,TIGR01251,ribP_PPkin: ribose-phosphate diphosphokinase,TIGRFAM,15.0,11-317
OFBKKLGO_00056_ctc,TIGR00731,TIGR00731,"bL25_bact_ctc: ribosomal protein bL25, Ctc-form",TIGRFAM,15.0,4-178
OFBKKLGO_00057_pth,TIGR00447,TIGR00447,pth: aminoacyl-tRNA hydrolase,TIGRFAM,15.0,1-186
OFBKKLGO_00059_mfd,TIGR00580,TIGR00580,mfd: transcription-repair coupling factor,TIGRFAM,15.0,157-1097
OFBKKLGO_00062_group_3077,TIGR00444,TIGR00444,mazG: MazG family protein,TIGRFAM,15.0,240-485
OFBKKLGO_00064_yabP,TIGR02892,TIGR02892,spore_yabP: sporulation protein YabP,TIGRFAM,15.0,17-100
