ID,PATHWAY
OFBKKLGO_00003_group_16074,"Formation of a pool of free 40S subunits|Reactome|R-HSA-72689;L13a-mediated translational silencing of Ceruloplasmin expression|Reactome|R-HSA-156827;Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)|Reactome|R-HSA-975957;Translation initiation complex formation|Reactome|R-HSA-72649;Formation of the ternary complex, and subsequently, the 43S complex|Reactome|R-HSA-72695;SRP-dependent cotranslational protein targeting to membrane|Reactome|R-HSA-1799339;GTP hydrolysis and joining of the 60S ribosomal subunit|Reactome|R-HSA-72706;Viral mRNA Translation|Reactome|R-HSA-192823;Major pathway of rRNA processing in the nucleolus and cytosol|Reactome|R-HSA-6791226;Regulation of expression of SLITs and ROBOs|Reactome|R-HSA-9010553;Ribosomal scanning and start codon recognition|Reactome|R-HSA-72702;Selenocysteine synthesis|Reactome|R-HSA-2408557;Eukaryotic Translation Termination|Reactome|R-HSA-72764;Response of EIF2AK4 (GCN2) to amino acid deficiency|Reactome|R-HSA-9633012;Peptide chain elongation|Reactome|R-HSA-156902;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)|Reactome|R-HSA-975956"
OFBKKLGO_00009_guaB,Inosine 5'-phosphate degradation|MetaCyc|PWY-5695;Drug metabolism - other enzymes|KEGG|00983+1.1.1.205;Guanosine ribonucleotides de novo biosynthesis|MetaCyc|PWY-7221;Adenosine nucleotides degradation I|MetaCyc|PWY-6596;Purine metabolism|KEGG|00230+1.1.1.205;Neutrophil degranulation|Reactome|R-HSA-6798695;Purine ribonucleoside monophosphate biosynthesis|Reactome|R-HSA-73817
OFBKKLGO_00010_dacA,Peptidoglycan biosynthesis|KEGG|00550+3.4.16.4;Peptidoglycan biosynthesis IV (Enterococcus faecium)|MetaCyc|PWY-6471;Peptidoglycan biosynthesis II (staphylococci)|MetaCyc|PWY-5265
OFBKKLGO_00010_dacA,Peptidoglycan biosynthesis II (staphylococci)|MetaCyc|PWY-5265;Peptidoglycan biosynthesis|KEGG|00550+3.4.16.4;Peptidoglycan biosynthesis IV (Enterococcus faecium)|MetaCyc|PWY-6471
OFBKKLGO_00011_pdxS,Pyridoxal 5'-phosphate biosynthesis II|MetaCyc|PWY-6466;Vitamin B6 metabolism|KEGG|00750+4.3.3.6
OFBKKLGO_00012_pdxT,"Pyridoxal 5'-phosphate biosynthesis II|MetaCyc|PWY-6466;Arginine biosynthesis|KEGG|00220+3.5.1.2;Glutaminyl-trnagln biosynthesis via transamidation|MetaCyc|PWY-5921;D-Glutamine and D-glutamate metabolism|KEGG|00471+3.5.1.2;Vitamin B6 metabolism|KEGG|00750+4.3.3.6;Alanine, aspartate and glutamate metabolism|KEGG|00250+3.5.1.2"
OFBKKLGO_00012_pdxT,"Pyridoxal 5'-phosphate biosynthesis II|MetaCyc|PWY-6466;Glutaminyl-trnagln biosynthesis via transamidation|MetaCyc|PWY-5921;D-Glutamine and D-glutamate metabolism|KEGG|00471+3.5.1.2;Alanine, aspartate and glutamate metabolism|KEGG|00250+3.5.1.2;Arginine biosynthesis|KEGG|00220+3.5.1.2;Vitamin B6 metabolism|KEGG|00750+4.3.3.6"
OFBKKLGO_00014_serS,L-selenocysteine biosynthesis II (archaea and eukaryotes)|MetaCyc|PWY-6281;Selenocysteine synthesis|Reactome|R-HSA-2408557;Cytosolic tRNA aminoacylation|Reactome|R-HSA-379716;Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.11
OFBKKLGO_00014_serS,L-selenocysteine biosynthesis II (archaea and eukaryotes)|MetaCyc|PWY-6281;Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.11
OFBKKLGO_00014_serS,Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.11;L-selenocysteine biosynthesis II (archaea and eukaryotes)|MetaCyc|PWY-6281
