Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00010_dacA,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-29
OFBKKLGO_00073_ftsH,SignalP-TM,SignalP-TM,,SIGNALP_EUK,4.1,1-24
OFBKKLGO_00163_gerD,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-19
OFBKKLGO_00176_feuA,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-21
OFBKKLGO_00178_group_5792,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-23
OFBKKLGO_00179_nagZ,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-19
OFBKKLGO_00188_cdaR_1,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-25
OFBKKLGO_00209_yolA,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-29
OFBKKLGO_00256_estA,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-24
OFBKKLGO_00262_cwlK,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-22
OFBKKLGO_00268_znuA,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-21
OFBKKLGO_00282_opuAC,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-21
OFBKKLGO_00312_group_3426,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-24
OFBKKLGO_00315_group_5810,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-19
OFBKKLGO_00328_tcyA,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-20
OFBKKLGO_00338_gerBC_1,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-21
OFBKKLGO_00342_yxeM,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-24
OFBKKLGO_00355_yclN,SignalP-TM,SignalP-TM,,SIGNALP_EUK,4.1,1-17
OFBKKLGO_00358_yclQ,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-19
OFBKKLGO_00370_ycnJ,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-23
OFBKKLGO_00386_group_3439,SignalP-TM,SignalP-TM,,SIGNALP_EUK,4.1,1-24
OFBKKLGO_00388_mrdA,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-25
OFBKKLGO_00397_amj,SignalP-TM,SignalP-TM,,SIGNALP_EUK,4.1,1-23
OFBKKLGO_00403_group_954,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-18
OFBKKLGO_00447_ydcC,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-22
OFBKKLGO_00531_ydhK,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-20
OFBKKLGO_00537_gdx_1,SignalP-TM,SignalP-TM,,SIGNALP_EUK,4.1,1-16
OFBKKLGO_00538_gdx_2,SignalP-TM,SignalP-TM,,SIGNALP_EUK,4.1,1-19
OFBKKLGO_00578_ydjM_1,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-17
OFBKKLGO_00614_yerB,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-25
OFBKKLGO_00620_group_5871,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-26
OFBKKLGO_00679_pel,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-21
OFBKKLGO_00691_group_1413,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-19
OFBKKLGO_00714_yfkN,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-35
OFBKKLGO_00724_ycaD,SignalP-TM,SignalP-TM,,SIGNALP_EUK,4.1,1-21
OFBKKLGO_00726_yfkD,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-24
OFBKKLGO_00730_pdaA,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-23
OFBKKLGO_00820_ssuA,SignalP-noTM,SignalP-noTM,,SIGNALP_EUK,4.1,1-20
