Query_ID,Subject_ID,Identity,Alignment Length,Mismatches
OFBKKLGO_00001_dnaA_1,sp|A7Z0C3|DNAA_BACVZ Chromosomal replication initiator protein DnaA OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=dnaA PE=3 SV=1,99.3,446,3
OFBKKLGO_00002_dnaN,sp|P05649|DPO3B_BACSU Beta sliding clamp OS=Bacillus subtilis (strain 168) OX=224308 GN=dnaN PE=1 SV=1,95.2,378,18
OFBKKLGO_00003_group_16074,sp|P05650|RLBA_BACSU Probable ribosome maturation protein RlbA OS=Bacillus subtilis (strain 168) OX=224308 GN=rlbA PE=4 SV=1,95.8,71,3
OFBKKLGO_00004_recF,sp|A7Z0C6|RECF_BACVZ DNA replication and repair protein RecF OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=recF PE=3 SV=1,99.2,370,3
OFBKKLGO_00008_group_1681,sp|P37526|YAAC_BACSU Uncharacterized protein YaaC OS=Bacillus subtilis (strain 168) OX=224308 GN=yaaC PE=4 SV=1,72.8,92,25
OFBKKLGO_00009_guaB,sp|P21879|IMDH_BACSU Inosine-5'-monophosphate dehydrogenase OS=Bacillus subtilis (strain 168) OX=224308 GN=guaB PE=1 SV=2,96.3,488,18
OFBKKLGO_00010_dacA,sp|P08750|DACA_BACSU D-alanyl-D-alanine carboxypeptidase DacA OS=Bacillus subtilis (strain 168) OX=224308 GN=dacA PE=1 SV=3,80.2,445,84
OFBKKLGO_00011_pdxS,sp|A7Z0D3|PDXS_BACVZ Pyridoxal 5'-phosphate synthase subunit PdxS OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=pdxS PE=3 SV=1,99.7,294,1
OFBKKLGO_00012_pdxT,sp|A7Z0D4|PDXT_BACVZ Pyridoxal 5'-phosphate synthase subunit PdxT OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=pdxT PE=3 SV=1,99.0,196,2
OFBKKLGO_00014_serS,sp|A7Z0D5|SYS_BACVZ Serine--tRNA ligase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=serS PE=3 SV=1,98.6,425,6
OFBKKLGO_00016_dck,sp|P37529|DCK_BACSU Deoxyadenosine/deoxycytidine kinase OS=Bacillus subtilis (strain 168) OX=224308 GN=dck PE=1 SV=1,84.3,217,34
OFBKKLGO_00017_dgk,sp|P37530|DGK_BACSU Deoxyguanosine kinase OS=Bacillus subtilis (strain 168) OX=224308 GN=dgk PE=1 SV=1,79.6,206,42
OFBKKLGO_00018_sleL,sp|P37531|SLEL_BACSU Cortical fragment-lytic enzyme OS=Bacillus subtilis (strain 168) OX=224308 GN=sleL PE=1 SV=2,78.7,427,89
OFBKKLGO_00022_dnaX,sp|P09122|DPO3X_BACSU DNA polymerase III subunit gamma/tau OS=Bacillus subtilis (strain 168) OX=224308 GN=dnaX PE=3 SV=3,90.6,563,53
OFBKKLGO_00023_group_15927,sp|Q65PK0|Y2358_BACLD Nucleoid-associated protein BLi00029/BL02358 OS=Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46) OX=279010 GN=BLi00029 PE=3 SV=1,91.6,107,9
OFBKKLGO_00025_group_5762,sp|P37533|YAAL_BACSU Uncharacterized protein YaaL OS=Bacillus subtilis (strain 168) OX=224308 GN=yaaL PE=4 SV=1,86.5,74,10
OFBKKLGO_00028_csfB,sp|P37534|GIN_BACSU Anti-sigma-G factor Gin OS=Bacillus subtilis (strain 168) OX=224308 GN=csfB PE=1 SV=1,64.1,64,23
OFBKKLGO_00032_tmk,sp|A7Z0F1|KTHY_BACVZ Thymidylate kinase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=tmk PE=3 SV=1,95.8,212,9
OFBKKLGO_00033_darA,sp|P37538|DARA_BACSU Cyclic di-AMP receptor A OS=Bacillus subtilis (strain 168) OX=224308 GN=darA PE=1 SV=1,97.2,109,3
OFBKKLGO_00034_group_4391,sp|P37539|YAAR_BACSU Uncharacterized protein YaaR OS=Bacillus subtilis (strain 168) OX=224308 GN=yaaR PE=4 SV=1,80.8,146,28
OFBKKLGO_00035_group_5764,sp|P37540|HOLB_BACSU DNA polymerase III subunit delta' OS=Bacillus subtilis (strain 168) OX=224308 GN=holB PE=3 SV=1,90.7,322,30
OFBKKLGO_00036_group_15993,sp|P37541|YAAT_BACSU Stage 0 sporulation protein YaaT OS=Bacillus subtilis (strain 168) OX=224308 GN=yaaT PE=4 SV=1,96.7,275,9
