Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00378_ycsE,SFLDG01144,C2.B.4:_PGP_Like,C2.B.4: PGP Like,SFLD,4,10-247
OFBKKLGO_00378_ycsE,SFLDG01140,C2.B:_Phosphomannomutase_and_,C2.B: Phosphomannomutase and Phosphatase Like,SFLD,4,10-247
OFBKKLGO_00728_group_3477,SFLDG01097,Uncharacterised_Radical_SAM_S,Uncharacterised Radical SAM Subgroup 10,SFLD,4,2-371
OFBKKLGO_00728_group_3477,SFLDS00029,Radical_SAM,Radical SAM,SFLD,4,2-371
OFBKKLGO_00728_group_3477,SFLDG01067,SPASM/twitch_domain_containin,SPASM/twitch domain containing,SFLD,4,32-348
OFBKKLGO_00809_thiC,SFLDS00113,Radical_SAM_Phosphomethylpyri,Radical SAM Phosphomethylpyrimidine Synthase,SFLD,4,6-590
OFBKKLGO_00809_thiC,SFLDG01114,phosphomethylpyrimidine_synth,phosphomethylpyrimidine synthase (ThiC),SFLD,4,14-590
OFBKKLGO_00809_thiC,SFLDF00407,phosphomethylpyrimidine_synth,phosphomethylpyrimidine synthase (ThiC),SFLD,4,133-553
OFBKKLGO_00862_hxpB,SFLDG01135,"C1.5.6:_HAD,_Beta-PGM,_Phosph","C1.5.6: HAD, Beta-PGM, Phosphatase Like",SFLD,4,2-209
OFBKKLGO_00862_hxpB,SFLDS00003,Haloacid_Dehalogenase,Haloacid Dehalogenase,SFLD,4,2-209
OFBKKLGO_00917_hemZ,SFLDG01065,anaerobic_coproporphyrinogen-,anaerobic coproporphyrinogen-III oxidase like,SFLD,4,79-494
OFBKKLGO_00917_hemZ,SFLDF00310,oxygen-independent_coproporph,oxygen-independent coproporphyrinogen-III oxidase 2 (HemZ-like),SFLD,4,79-494
OFBKKLGO_00917_hemZ,SFLDG01082,B12-binding_domain_containing,B12-binding domain containing,SFLD,4,181-401
OFBKKLGO_01029_yitU,SFLDS00003,Haloacid_Dehalogenase,Haloacid Dehalogenase,SFLD,4,5-268
OFBKKLGO_01029_yitU,SFLDG01140,C2.B:_Phosphomannomutase_and_,C2.B: Phosphomannomutase and Phosphatase Like,SFLD,4,5-268
OFBKKLGO_01110_hepT,SFLDS00005,Isoprenoid_Synthase_Type_I,Isoprenoid Synthase Type I,SFLD,4,64-347
OFBKKLGO_01441_kamA,SFLDG01070,PLP-dependent,PLP-dependent,SFLD,4,13-427
OFBKKLGO_01441_kamA,SFLDF00283,"L-lysine_2,3-aminomutase_(LAM","L-lysine 2,3-aminomutase (LAM-like)",SFLD,4,13-427
OFBKKLGO_01566_bioB,SFLDS00029,Radical_SAM,Radical SAM,SFLD,4,2-323
OFBKKLGO_01566_bioB,SFLDG01278,biotin_synthase_like,biotin synthase like,SFLD,4,2-323
OFBKKLGO_01702_miaB,SFLDG01082,B12-binding_domain_containing,B12-binding domain containing,SFLD,4,129-426
OFBKKLGO_01702_miaB,SFLDS00029,Radical_SAM,Radical SAM,SFLD,4,64-503
OFBKKLGO_01702_miaB,SFLDF00273,(dimethylallyl)adenosine_tRNA,(dimethylallyl)adenosine tRNA methylthiotransferase (MiaB-like),SFLD,4,64-503
OFBKKLGO_01828_rlmN,SFLDF00275,adenosine_C2_methyltransferas,adenosine C2 methyltransferase (RlmN-like),SFLD,4,15-361
OFBKKLGO_01828_rlmN,SFLDS00029,Radical_SAM,Radical SAM,SFLD,4,15-361
