Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00001_dnaA_1,G3DSA:1.10.1750.10,,,GENE3D,4.2.0,346-446
OFBKKLGO_00001_dnaA_1,G3DSA:3.40.50.300,,,GENE3D,4.2.0,93-275
OFBKKLGO_00001_dnaA_1,G3DSA:1.10.8.60,,,GENE3D,4.2.0,277-345
OFBKKLGO_00001_dnaA_1,G3DSA:3.30.300.180,,,GENE3D,4.2.0,1-82
OFBKKLGO_00002_dnaN,G3DSA:3.70.10.10,,,GENE3D,4.2.0,145-375
OFBKKLGO_00002_dnaN,G3DSA:3.10.150.10,DNA Polymerase III,,GENE3D,4.2.0,1-250
OFBKKLGO_00003_group_16074,G3DSA:3.10.290.10,,,GENE3D,4.2.0,1-70
OFBKKLGO_00004_recF,G3DSA:1.20.1050.90,,,GENE3D,4.2.0,119-311
OFBKKLGO_00004_recF,G3DSA:3.40.50.300,,,GENE3D,4.2.0,6-345
OFBKKLGO_00009_guaB,G3DSA:3.20.20.70,Aldolase class I,,GENE3D,4.2.0,1-487
OFBKKLGO_00010_dacA,G3DSA:2.60.410.10,Peptidoglycan synthesis regulatory factor (PBP3),,GENE3D,4.2.0,311-413
OFBKKLGO_00010_dacA,G3DSA:3.40.710.10,,,GENE3D,4.2.0,29-308
OFBKKLGO_00011_pdxS,G3DSA:3.20.20.70,Aldolase class I,,GENE3D,4.2.0,1-294
OFBKKLGO_00012_pdxT,G3DSA:3.40.50.880,,,GENE3D,4.2.0,1-196
OFBKKLGO_00014_serS,G3DSA:3.30.930.10,Bira Bifunctional Protein; Domain 2,,GENE3D,4.2.0,106-425
OFBKKLGO_00014_serS,G3DSA:1.10.287.40,,,GENE3D,4.2.0,1-105
OFBKKLGO_00016_dck,G3DSA:3.40.50.300,,,GENE3D,4.2.0,9-214
OFBKKLGO_00017_dgk,G3DSA:3.40.50.300,,,GENE3D,4.2.0,5-207
OFBKKLGO_00018_sleL,G3DSA:3.20.20.80,Glycosidases,,GENE3D,4.2.0,126-411
OFBKKLGO_00018_sleL,G3DSA:3.10.50.10,,,GENE3D,4.2.0,319-377
OFBKKLGO_00018_sleL,G3DSA:3.10.350.10,,,GENE3D,4.2.0,1-45;46-104
OFBKKLGO_00022_dnaX,G3DSA:3.40.50.300,,,GENE3D,4.2.0,13-177
OFBKKLGO_00022_dnaX,G3DSA:1.10.8.60,,,GENE3D,4.2.0,8-233
OFBKKLGO_00022_dnaX,G3DSA:1.20.272.10,,,GENE3D,4.2.0,242-361
OFBKKLGO_00023_group_15927,G3DSA:3.30.1310.10,,,GENE3D,4.2.0,2-107
OFBKKLGO_00032_tmk,G3DSA:3.40.50.300,,,GENE3D,4.2.0,1-211
