Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00001_dnaA_1,cd06571,Bac_DnaA_C,Bac_DnaA_C,CDD,3.17,356-445
OFBKKLGO_00001_dnaA_1,cd00009,AAA,AAA,CDD,3.17,125-269
OFBKKLGO_00002_dnaN,cd00140,beta_clamp,beta_clamp,CDD,3.17,1-376
OFBKKLGO_00004_recF,cd03242,ABC_RecF,ABC_RecF,CDD,3.17,3-368
OFBKKLGO_00009_guaB,cd04601,CBS_pair_IMPDH,CBS_pair_IMPDH,CDD,3.17,96-206
OFBKKLGO_00009_guaB,cd00381,IMPDH,IMPDH,CDD,3.17,10-463
OFBKKLGO_00011_pdxS,cd04727,pdxS,pdxS,CDD,3.17,11-293
OFBKKLGO_00012_pdxT,cd01749,GATase1_PB,GATase1_PB,CDD,3.17,4-184
OFBKKLGO_00014_serS,cd00770,SerRS_core,SerRS_core,CDD,3.17,120-417
OFBKKLGO_00016_dck,cd01673,dNK,dNK,CDD,3.17,11-197
OFBKKLGO_00017_dgk,cd01673,dNK,dNK,CDD,3.17,6-192
OFBKKLGO_00018_sleL,cd00118,LysM,LysM,CDD,3.17,46-90
OFBKKLGO_00018_sleL,cd00118,LysM,LysM,CDD,3.17,1-41
OFBKKLGO_00018_sleL,cd02874,GH18_CFLE_spore_hydrolase,GH18_CFLE_spore_hydrolase,CDD,3.17,99-414
OFBKKLGO_00022_dnaX,cd00009,AAA,AAA,CDD,3.17,19-172
OFBKKLGO_00022_dnaX,cd18137,HLD_clamp_pol_III_gamma_tau,HLD_clamp_pol_III_gamma_tau,CDD,3.17,178-242
OFBKKLGO_00032_tmk,cd01672,TMPK,TMPK,CDD,3.17,4-205
OFBKKLGO_00038_yfiC,cd02440,AdoMet_MTases,AdoMet_MTases,CDD,3.17,48-141
OFBKKLGO_00039_group_821,cd10456,GIY-YIG_UPF0213,GIY-YIG_UPF0213,CDD,3.17,6-73
OFBKKLGO_00040_rsmI,cd11648,RsmI,RsmI,CDD,3.17,17-234
OFBKKLGO_00042_metG,cd02800,tRNA_bind_EcMetRS_like,tRNA_bind_EcMetRS_like,CDD,3.17,559-663
OFBKKLGO_00042_metG,cd00814,MetRS_core,MetRS_core,CDD,3.17,7-350
OFBKKLGO_00042_metG,cd07957,Anticodon_Ia_Met,Anticodon_Ia_Met,CDD,3.17,359-489
OFBKKLGO_00044_group_2629,cd14667,3D_containing_proteins,3D_containing_proteins,CDD,3.17,349-438
OFBKKLGO_00045_rnmV_1,cd01027,TOPRIM_RNase_M5_like,TOPRIM_RNase_M5_like,CDD,3.17,3-80
OFBKKLGO_00046_rsmA,cd02440,AdoMet_MTases,AdoMet_MTases,CDD,3.17,53-156
OFBKKLGO_00051_purR,cd06223,PRTases_typeI,PRTases_typeI,CDD,3.17,118-242
OFBKKLGO_00052_yabJ,cd00448,YjgF_YER057c_UK114_family,YjgF_YER057c_UK114_family,CDD,3.17,17-122
OFBKKLGO_00054_glmU,cd02540,GT2_GlmU_N_bac,GT2_GlmU_N_bac,CDD,3.17,6-233
OFBKKLGO_00054_glmU,cd03353,LbH_GlmU_C,LbH_GlmU_C,CDD,3.17,252-443
OFBKKLGO_00055_prs,cd06223,PRTases_typeI,PRTases_typeI,CDD,3.17,154-278
OFBKKLGO_00056_ctc,cd00495,Ribosomal_L25_TL5_CTC,Ribosomal_L25_TL5_CTC,CDD,3.17,3-91
OFBKKLGO_00057_pth,cd00462,PTH,PTH,CDD,3.17,3-173
OFBKKLGO_00059_mfd,cd18810,SF2_C_TRCF,SF2_C_TRCF,CDD,3.17,808-958
OFBKKLGO_00059_mfd,cd17991,DEXHc_TRCF,DEXHc_TRCF,CDD,3.17,609-801
OFBKKLGO_00061_murJ_1,cd13124,MATE_SpoVB_like,MATE_SpoVB_like,CDD,3.17,17-431
OFBKKLGO_00062_group_3077,cd11723,YabN_N,YabN_N,CDD,3.17,5-224
OFBKKLGO_00062_group_3077,cd11529,NTP-PPase_MazG_Cterm,NTP-PPase_MazG_Cterm,CDD,3.17,383-485
OFBKKLGO_00062_group_3077,cd11528,NTP-PPase_MazG_Nterm,NTP-PPase_MazG_Nterm,CDD,3.17,237-348
OFBKKLGO_00063_group_5774,cd00165,S4,S4,CDD,3.17,1-59
OFBKKLGO_00067_pnp_1,cd05692,S1_RPS1_repeat_hs4,S1_RPS1_repeat_hs4,CDD,3.17,6-74
OFBKKLGO_00069_group_16125,cd00198,vWFA,vWFA,CDD,3.17,135-231
OFBKKLGO_00071_tilS,cd01992,PP-ATPase,PP-ATPase,CDD,3.17,19-206
OFBKKLGO_00072_hpt,cd06223,PRTases_typeI,PRTases_typeI,CDD,3.17,19-146
OFBKKLGO_00073_ftsH,cd00009,AAA,AAA,CDD,3.17,164-329
OFBKKLGO_00075_hslO,cd00498,Hsp33,Hsp33,CDD,3.17,4-278
OFBKKLGO_00077_cysK_1,cd01561,CBS_like,CBS_like,CDD,3.17,13-301
OFBKKLGO_00079_pabA,cd01743,GATase1_Anthranilate_Synthase,GATase1_Anthranilate_Synthase,CDD,3.17,2-185
OFBKKLGO_00080_pabC,cd01559,ADCL_like,ADCL_like,CDD,3.17,21-274
OFBKKLGO_00081_folP,cd00739,DHPS,DHPS,CDD,3.17,25-274
OFBKKLGO_00082_folB,cd00534,DHNA_DHNTPE,DHNA_DHNTPE,CDD,3.17,1-118
OFBKKLGO_00083_sulD,cd00483,HPPK,HPPK,CDD,3.17,5-132
OFBKKLGO_00085_dusB,cd02801,DUS_like_FMN,DUS_like_FMN,CDD,3.17,12-244
OFBKKLGO_00086_lysS,cd00775,LysRS_core,LysRS_core,CDD,3.17,173-497
OFBKKLGO_00086_lysS,cd04322,LysRS_N,LysRS_N,CDD,3.17,64-170
OFBKKLGO_00090_mcsB,cd07930,bacterial_phosphagen_kinase,bacterial_phosphagen_kinase,CDD,3.17,22-254
OFBKKLGO_00091_clpC,cd00009,AAA,AAA,CDD,3.17,184-336
OFBKKLGO_00091_clpC,cd00009,AAA,AAA,CDD,3.17,537-669
OFBKKLGO_00094_yacL,cd09877,PIN_YacL-like,PIN_YacL-like,CDD,3.17,168-294
OFBKKLGO_00095_ispD,cd02516,CDP-ME_synthetase,CDP-ME_synthetase,CDD,3.17,3-219
OFBKKLGO_00096_ispF,cd00554,MECDP_synthase,MECDP_synthase,CDD,3.17,3-155
OFBKKLGO_00097_gltX,cd00808,GluRS_core,GluRS_core,CDD,3.17,4-330
OFBKKLGO_00099_cysE,cd03354,LbH_SAT,LbH_SAT,CDD,3.17,65-165
OFBKKLGO_00100_cysS,cd00672,CysRS_core,CysRS_core,CDD,3.17,4-305
OFBKKLGO_00101_mrnC,cd00593,RIBOc,RIBOc,CDD,3.17,18-130
OFBKKLGO_00102_group_5781,cd18103,SpoU-like_RlmB,SpoU-like_RlmB,CDD,3.17,98-240
OFBKKLGO_00103_yacP,cd10912,PIN_YacP-like,PIN_YacP-like,CDD,3.17,3-143
OFBKKLGO_00106_nusG_1,cd09891,NGN_Bact_1,NGN_Bact_1,CDD,3.17,4-113
OFBKKLGO_00106_nusG_1,cd06091,KOW_NusG,KOW_NusG,CDD,3.17,121-176
OFBKKLGO_00107_rplK,cd00349,Ribosomal_L11,Ribosomal_L11,CDD,3.17,11-139
OFBKKLGO_00108_rplA,cd00403,Ribosomal_L1,Ribosomal_L1,CDD,3.17,23-224
OFBKKLGO_00110_rplJ,cd05797,Ribosomal_L10,Ribosomal_L10,CDD,3.17,5-160
OFBKKLGO_00111_rplL,cd00387,Ribosomal_L7_L12,Ribosomal_L7_L12,CDD,3.17,3-122
OFBKKLGO_00112_rlmG,cd02440,AdoMet_MTases,AdoMet_MTases,CDD,3.17,61-164
OFBKKLGO_00113_rpoB,cd00653,RNA_pol_B_RPB2,RNA_pol_B_RPB2,CDD,3.17,29-1144
OFBKKLGO_00114_rpoC,cd02655,RNAP_beta'_C,RNAP_beta'_C,CDD,3.17,913-1177
OFBKKLGO_00114_rpoC,cd01609,RNAP_beta'_N,RNAP_beta'_N,CDD,3.17,5-817
OFBKKLGO_00116_rpsL,cd03368,Ribosomal_S12,Ribosomal_S12,CDD,3.17,3-123
OFBKKLGO_00117_rpsG,cd14869,uS7_Bacteria,uS7_Bacteria,CDD,3.17,12-149
OFBKKLGO_00118_fusA,cd16262,EFG_III,EFG_III,CDD,3.17,403-478
OFBKKLGO_00118_fusA,cd01434,EFG_mtEFG1_IV,EFG_mtEFG1_IV,CDD,3.17,481-596
OFBKKLGO_00118_fusA,cd03713,EFG_mtEFG_C,EFG_mtEFG_C,CDD,3.17,601-678
OFBKKLGO_00118_fusA,cd01886,EF-G,EF-G,CDD,3.17,12-281
OFBKKLGO_00118_fusA,cd04088,EFG_mtEFG_II,EFG_mtEFG_II,CDD,3.17,308-390
OFBKKLGO_00119_tuf,cd03707,EFTU_III,EFTU_III,CDD,3.17,302-391
OFBKKLGO_00119_tuf,cd03697,EFTU_II,EFTU_II,CDD,3.17,212-299
OFBKKLGO_00119_tuf,cd01884,EF_Tu,EF_Tu,CDD,3.17,12-204
OFBKKLGO_00127_rplV,cd00336,Ribosomal_L22,Ribosomal_L22,CDD,3.17,3-107
OFBKKLGO_00128_rpsC,cd02412,30S_S3_KH,30S_S3_KH,CDD,3.17,2-107
OFBKKLGO_00129_rplP,cd01433,Ribosomal_L16_L10e,Ribosomal_L16_L10e,CDD,3.17,24-132
OFBKKLGO_00130_rpmC,cd00427,Ribosomal_L29_HIP,Ribosomal_L29_HIP,CDD,3.17,4-60
OFBKKLGO_00133_rplX,cd06089,KOW_RPL26,KOW_RPL26,CDD,3.17,6-69
OFBKKLGO_00138_rplR,cd00432,Ribosomal_L18_L5e,Ribosomal_L18_L5e,CDD,3.17,19-118
OFBKKLGO_00140_rpmD,cd01658,Ribosomal_L30,Ribosomal_L30,CDD,3.17,4-56
OFBKKLGO_00143_adk,cd01428,ADK,ADK,CDD,3.17,2-204
OFBKKLGO_00144_map,cd01086,MetAP1,MetAP1,CDD,3.17,12-247
OFBKKLGO_00145_infA,cd04451,S1_IF1,S1_IF1,CDD,3.17,7-70
OFBKKLGO_00149_rpoA,cd06928,RNAP_alpha_NTD,RNAP_alpha_NTD,CDD,3.17,13-224
OFBKKLGO_00151_ecfA1,cd03225,ABC_cobalt_CbiO_domain1,ABC_cobalt_CbiO_domain1,CDD,3.17,8-219
OFBKKLGO_00152_ecfA2,cd03225,ABC_cobalt_CbiO_domain1,ABC_cobalt_CbiO_domain1,CDD,3.17,4-223
OFBKKLGO_00154_truA,cd02570,PseudoU_synth_EcTruA,PseudoU_synth_EcTruA,CDD,3.17,5-245
OFBKKLGO_00156_rplM,cd00392,Ribosomal_L13,Ribosomal_L13,CDD,3.17,16-129
OFBKKLGO_00158_group_4401,cd02440,AdoMet_MTases,AdoMet_MTases,CDD,3.17,61-162
OFBKKLGO_00161_cwlD,cd02696,MurNAc-LAA,MurNAc-LAA,CDD,3.17,56-226
OFBKKLGO_00162_salA,cd02037,Mrp_NBP35,Mrp_NBP35,CDD,3.17,109-318
OFBKKLGO_00168_lysJ,cd00610,OAT_like,OAT_like,CDD,3.17,17-418
OFBKKLGO_00174_feuC_1,cd06550,TM_ABC_iron-siderophores_like,TM_ABC_iron-siderophores_like,CDD,3.17,60-330
OFBKKLGO_00175_feuB_1,cd06550,TM_ABC_iron-siderophores_like,TM_ABC_iron-siderophores_like,CDD,3.17,66-325
OFBKKLGO_00176_feuA,cd01138,FeuA,FeuA,CDD,3.17,47-298
