Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00001_dnaA_1,MF_00377,DnaA_bact,Chromosomal replication initiator protein DnaA [dnaA].,HAMAP,2020_01,5-446
OFBKKLGO_00004_recF,MF_00365,RecF,DNA replication and repair protein RecF [recF].,HAMAP,2020_01,1-370
OFBKKLGO_00009_guaB,MF_01964,IMPDH,Inosine-5'-monophosphate dehydrogenase [guaB].,HAMAP,2020_01,10-487
OFBKKLGO_00011_pdxS,MF_01824,PdxS,Pyridoxal 5'-phosphate synthase subunit PdxS [pdxS].,HAMAP,2020_01,4-294
OFBKKLGO_00012_pdxT,MF_01615,PdxT,Pyridoxal 5'-phosphate synthase subunit PdxT [pdxT].,HAMAP,2020_01,4-186
OFBKKLGO_00014_serS,MF_00176,Ser_tRNA_synth_type1,Serine--tRNA ligase [serS].,HAMAP,2020_01,1-422
OFBKKLGO_00023_group_15927,MF_00274,DNA_YbaB_EbfC,Nucleoid-associated protein YbaB [ybaB].,HAMAP,2020_01,6-100
OFBKKLGO_00032_tmk,MF_00165,Thymidylate_kinase,Thymidylate kinase [tmk].,HAMAP,2020_01,4-207
OFBKKLGO_00037_yabA,MF_01159,YabA,Initiation-control protein YabA.,HAMAP,2020_01,1-118
OFBKKLGO_00040_rsmI,MF_01877,16SrRNA_methyltr_I,Ribosomal RNA small subunit methyltransferase I [rsmI].,HAMAP,2020_01,16-234
OFBKKLGO_00042_metG,MF_01228,Met_tRNA_synth_type2,Methionine--tRNA ligase [metG].,HAMAP,2020_01,3-522
OFBKKLGO_00045_rnmV_1,MF_01469,RNase_M5,Ribonuclease M5 [rnmV].,HAMAP,2020_01,3-178
OFBKKLGO_00046_rsmA,MF_00607,16SrRNA_methyltr_A,Ribosomal RNA small subunit methyltransferase A [rsmA].,HAMAP,2020_01,21-289
OFBKKLGO_00050_ispE,MF_00061,IspE,Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [ispE].,HAMAP,2020_01,3-279
OFBKKLGO_00053_spoVG,MF_00819,SpoVG,Putative septation protein SpoVG [spoVG].,HAMAP,2020_01,1-94
OFBKKLGO_00054_glmU,MF_01631,GlmU,Bifunctional protein GlmU [glmU].,HAMAP,2020_01,3-452
OFBKKLGO_00055_prs,MF_00583_B,RibP_PPkinase_B,Putative ribose-phosphate pyrophosphokinase [prs].,HAMAP,2020_01,10-317
OFBKKLGO_00056_ctc,MF_01334,Ribosomal_L25_CTC,50S ribosomal protein L25 [rplY].,HAMAP,2020_01,2-181
OFBKKLGO_00057_pth,MF_00083,Pept_tRNA_hydro_bact,Peptidyl-tRNA hydrolase [pth].,HAMAP,2020_01,1-178
OFBKKLGO_00059_mfd,MF_00969,TRCF,Transcription-repair-coupling factor [mfd].,HAMAP,2020_01,42-1118
OFBKKLGO_00071_tilS,MF_01161,tRNA_Ile_lys_synt,tRNA(Ile)-lysidine synthase [tilS].,HAMAP,2020_01,11-317
OFBKKLGO_00073_ftsH,MF_01458,FtsH,ATP-dependent zinc metalloprotease FtsH [ftsH].,HAMAP,2020_01,3-609
