Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,187-209
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,50-72
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,353-375
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,408-427
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,15-37
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,281-303
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,92-114
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,382-404
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,230-252
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,439-461
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,316-338
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,121-143
OFBKKLGO_00061_murJ_1,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,471-493
OFBKKLGO_00066_divIC,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,38-60
OFBKKLGO_00073_ftsH,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,108-130
OFBKKLGO_00073_ftsH,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,4-26
OFBKKLGO_00094_yacL,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,40-62
OFBKKLGO_00094_yacL,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,111-133
OFBKKLGO_00094_yacL,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,5-27
OFBKKLGO_00094_yacL,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,82-104
OFBKKLGO_00105_secE,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,24-46
OFBKKLGO_00142_secY,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,211-233
OFBKKLGO_00142_secY,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,115-132
OFBKKLGO_00142_secY,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,395-412
OFBKKLGO_00142_secY,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,363-385
OFBKKLGO_00142_secY,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,307-329
OFBKKLGO_00142_secY,TMhelix,,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,2.0c,20-42
