ID,GO,CLASSFICATION
OFBKKLGO_00001_dnaA_1,sequence-specific DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00001_dnaA_1,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00001_dnaA_1,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00002_dnaN,DNA polymerase III complex,CELLULAR_COMPONENT
OFBKKLGO_00002_dnaN,DNA-directed DNA polymerase activity,MOLECULAR_FUNCTION
OFBKKLGO_00002_dnaN,DNA-directed DNA polymerase activity,MOLECULAR_FUNCTION
OFBKKLGO_00003_group_16074,RNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00004_recF,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00004_recF,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00009_guaB,IMP dehydrogenase activity,MOLECULAR_FUNCTION
OFBKKLGO_00009_guaB,oxidoreductase activity,MOLECULAR_FUNCTION
OFBKKLGO_00009_guaB,catalytic activity,MOLECULAR_FUNCTION
OFBKKLGO_00009_guaB,catalytic activity,MOLECULAR_FUNCTION
OFBKKLGO_00010_dacA,proteolysis,BIOLOGICAL_PROCESS
OFBKKLGO_00010_dacA,proteolysis,BIOLOGICAL_PROCESS
OFBKKLGO_00011_pdxS,vitamin B6 biosynthetic process,BIOLOGICAL_PROCESS
OFBKKLGO_00011_pdxS,catalytic activity,MOLECULAR_FUNCTION
OFBKKLGO_00012_pdxT,vitamin B6 biosynthetic process,BIOLOGICAL_PROCESS
OFBKKLGO_00014_serS,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00014_serS,nucleotide binding,MOLECULAR_FUNCTION
OFBKKLGO_00014_serS,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00016_dck,nucleobase-containing compound metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00017_dgk,nucleobase-containing compound metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00018_sleL,chitin binding,MOLECULAR_FUNCTION
OFBKKLGO_00018_sleL,carbohydrate metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00022_dnaX,DNA-directed DNA polymerase activity,MOLECULAR_FUNCTION
OFBKKLGO_00022_dnaX,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00022_dnaX,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00022_dnaX,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00032_tmk,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00035_group_5764,DNA-directed DNA polymerase activity,MOLECULAR_FUNCTION
OFBKKLGO_00035_group_5764,3'-5' exonuclease activity,MOLECULAR_FUNCTION
OFBKKLGO_00037_yabA,DNA replication,BIOLOGICAL_PROCESS
OFBKKLGO_00040_rsmI,methyltransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00041_abrB,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00042_metG,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00042_metG,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00042_metG,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00042_metG,methionine-tRNA ligase activity,MOLECULAR_FUNCTION
OFBKKLGO_00042_metG,aminoacyl-tRNA ligase activity,MOLECULAR_FUNCTION
OFBKKLGO_00042_metG,tRNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00042_metG,methionine-tRNA ligase activity,MOLECULAR_FUNCTION
OFBKKLGO_00044_group_2629,"hydrolase activity, hydrolyzing O-glycosyl compounds",MOLECULAR_FUNCTION
OFBKKLGO_00045_rnmV_1,ribonuclease M5 activity,MOLECULAR_FUNCTION
OFBKKLGO_00046_rsmA,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",MOLECULAR_FUNCTION
OFBKKLGO_00046_rsmA,rRNA methyltransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00048_veg,"regulation of transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00049_group_16234,DNA topological change,BIOLOGICAL_PROCESS
OFBKKLGO_00050_ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity,MOLECULAR_FUNCTION
OFBKKLGO_00050_ispE,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00051_purR,nucleoside metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00051_purR,"negative regulation of transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00051_purR,"regulation of transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00053_spoVG,sporulation resulting in formation of a cellular spore,BIOLOGICAL_PROCESS
OFBKKLGO_00054_glmU,biosynthetic process,BIOLOGICAL_PROCESS
OFBKKLGO_00054_glmU,transferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00054_glmU,glucosamine-1-phosphate N-acetyltransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00054_glmU,glucosamine-1-phosphate N-acetyltransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00055_prs,magnesium ion binding,MOLECULAR_FUNCTION
OFBKKLGO_00055_prs,magnesium ion binding,MOLECULAR_FUNCTION
OFBKKLGO_00055_prs,nucleoside metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00055_prs,ribose phosphate diphosphokinase activity,MOLECULAR_FUNCTION
OFBKKLGO_00056_ctc,ribosome,CELLULAR_COMPONENT
