Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00001_dnaA_1,SM00382,AAA_5,,SMART,7.1,143-271
OFBKKLGO_00001_dnaA_1,SM00760,bac_dnaa_c7seqb,,SMART,7.1,355-424
OFBKKLGO_00002_dnaN,SM00480,pol35,,SMART,7.1,17-373
OFBKKLGO_00009_guaB,SM01240,IMPDH_2,,SMART,7.1,9-474
OFBKKLGO_00009_guaB,SM00116,cbs_1,,SMART,7.1,161-209;98-148
OFBKKLGO_00010_dacA,SM00936,PBP5_C_2,,SMART,7.1,310-413
OFBKKLGO_00018_sleL,SM00257,LysM_2,,SMART,7.1,1-42;47-91
OFBKKLGO_00018_sleL,SM00636,2g34,,SMART,7.1,99-406
OFBKKLGO_00022_dnaX,SM00382,AAA_5,,SMART,7.1,37-179
OFBKKLGO_00039_group_821,SM00465,uri_9,,SMART,7.1,5-83
OFBKKLGO_00041_abrB,SM00966,SpoVT_AbrB_2_a,,SMART,7.1,8-51
OFBKKLGO_00044_group_2629,SM01208,G5_2,,SMART,7.1,245-323
OFBKKLGO_00045_rnmV_1,SM00493,toprim5,,SMART,7.1,4-77
OFBKKLGO_00046_rsmA,SM00650,rADcneu6,,SMART,7.1,37-213
OFBKKLGO_00055_prs,SM01400,Pribosyltran_N_2,,SMART,7.1,10-126
OFBKKLGO_00059_mfd,SM01058,CarD_TRCF_2,,SMART,7.1,499-596
OFBKKLGO_00059_mfd,SM00490,helicmild6,,SMART,7.1,846-930
OFBKKLGO_00059_mfd,SM00487,ultradead3,,SMART,7.1,620-810
OFBKKLGO_00059_mfd,SM00982,TRCF_a_2_a,,SMART,7.1,1024-1124
OFBKKLGO_00063_group_5774,SM00363,s4_6,,SMART,7.1,1-64
OFBKKLGO_00067_pnp_1,SM00316,S1_6,,SMART,7.1,4-74
OFBKKLGO_00071_tilS,SM00977,TilS_C_a_2_a,,SMART,7.1,385-460
OFBKKLGO_00073_ftsH,SM00382,AAA_5,,SMART,7.1,193-332
OFBKKLGO_00082_folB,SM00905,FolB_2,,SMART,7.1,4-117
OFBKKLGO_00091_clpC,SM00382,AAA_5,,SMART,7.1,538-716;201-345
OFBKKLGO_00091_clpC,SM01086,ClpB_D2_small_2,,SMART,7.1,715-804
OFBKKLGO_00094_yacL,SM00670,PIN_9,,SMART,7.1,166-273
OFBKKLGO_00100_cysS,SM00840,dalr_2_4,,SMART,7.1,353-416
OFBKKLGO_00101_mrnC,SM00535,riboneu5,,SMART,7.1,1-134
OFBKKLGO_00102_group_5781,SM00967,SpoU_sub_bind_2,,SMART,7.1,7-81
OFBKKLGO_00106_nusG_1,SM00739,kow_9,,SMART,7.1,123-150
OFBKKLGO_00106_nusG_1,SM00738,nusgn_4,,SMART,7.1,2-113
OFBKKLGO_00107_rplK,SM00649,rl11c,,SMART,7.1,9-140
OFBKKLGO_00114_rpoC,SM00663,rpolaneu7,,SMART,7.1,224-503
OFBKKLGO_00118_fusA,SM00838,EFG_C_a,,SMART,7.1,598-685
OFBKKLGO_00118_fusA,SM00889,EFG_IV_2,,SMART,7.1,478-596
OFBKKLGO_00121_rpsJ,SM01403,Ribosomal_S10_2,,SMART,7.1,7-101
OFBKKLGO_00125_rplB,SM01383,Ribosomal_L2_2,,SMART,7.1,42-118
OFBKKLGO_00125_rplB,SM01382,Ribosomal_L2_C_2,,SMART,7.1,124-253
OFBKKLGO_00128_rpsC,SM00322,kh_6,,SMART,7.1,59-124
OFBKKLGO_00132_rplN,SM01374,Ribosomal_L14_2,,SMART,7.1,1-122
OFBKKLGO_00133_rplX,SM00739,kow_9,,SMART,7.1,2-29
OFBKKLGO_00145_infA,SM00316,S1_6,,SMART,7.1,4-72
OFBKKLGO_00149_rpoA,SM00662,rpoldneu2,,SMART,7.1,20-227
OFBKKLGO_00151_ecfA1,SM00382,AAA_5,,SMART,7.1,34-219
OFBKKLGO_00152_ecfA2,SM00382,AAA_5,,SMART,7.1,32-223
OFBKKLGO_00161_cwlD,SM00646,ami_3,,SMART,7.1,115-226
OFBKKLGO_00170_gutB_1,SM00829,PKS_ER_names_mod,,SMART,7.1,7-311
OFBKKLGO_00222_group_2645,SM00530,mbf_short4,,SMART,7.1,13-68
OFBKKLGO_00229_group_5798,SM00450,rhod_4,,SMART,7.1,115-216
OFBKKLGO_00269_znuC,SM00382,AAA_5,,SMART,7.1,28-215
OFBKKLGO_00280_opuAA,SM00116,cbs_1,,SMART,7.1,347-394;287-335
OFBKKLGO_00280_opuAA,SM00382,AAA_5,,SMART,7.1,58-247
OFBKKLGO_00309_yciC,SM00833,CobW_C_3,,SMART,7.1,259-375
OFBKKLGO_00326_tcyC,SM00382,AAA_5,,SMART,7.1,26-223
OFBKKLGO_00328_tcyA,SM00062,AABind_6,,SMART,7.1,44-262
OFBKKLGO_00342_yxeM,SM00062,AABind_6,,SMART,7.1,33-256
OFBKKLGO_00344_yxeO,SM00382,AAA_5,,SMART,7.1,26-216
OFBKKLGO_00347_lolD,SM00382,AAA_5,,SMART,7.1,30-224
OFBKKLGO_00349_srrA_1,SM00862,Trans_reg_C_3,,SMART,7.1,149-224
OFBKKLGO_00349_srrA_1,SM00448,REC_2,,SMART,7.1,1-111
OFBKKLGO_00350_rcsC_1,SM00387,HKATPase_4,,SMART,7.1,359-471
OFBKKLGO_00350_rcsC_1,SM00304,HAMP_11,,SMART,7.1,188-240
OFBKKLGO_00350_rcsC_1,SM00388,HisKA_10,,SMART,7.1,248-314
OFBKKLGO_00351_rapF_1,SM00028,tpr_5,,SMART,7.1,142-175;263-296;183-216;223-256
OFBKKLGO_00357_yclP,SM00382,AAA_5,,SMART,7.1,26-213
OFBKKLGO_00363_group_3436,SM00418,arsrmega2,,SMART,7.1,16-94
OFBKKLGO_00364_gabR_1,SM00345,gntr3,,SMART,7.1,19-78
OFBKKLGO_00371_ycnK,SM00420,deor2,,SMART,7.1,6-58
OFBKKLGO_00382_pxpB,SM00796,ahs1,,SMART,7.1,10-219
OFBKKLGO_00384_kipR,SM00346,iclrneu,,SMART,7.1,15-103
OFBKKLGO_00399_lrpC,SM00344,asnc,,SMART,7.1,3-109
OFBKKLGO_00400_topB,SM00436,topIban2,,SMART,7.1,126-216
OFBKKLGO_00400_topB,SM00493,toprim5,,SMART,7.1,3-126
OFBKKLGO_00400_topB,SM00437,topIaneu2,,SMART,7.1,262-548
OFBKKLGO_00428_dcuS_1,SM00091,pas_2,,SMART,7.1,213-278
OFBKKLGO_00428_dcuS_1,SM00387,HKATPase_4,,SMART,7.1,417-528
OFBKKLGO_00429_dcuR_1,SM00448,REC_2,,SMART,7.1,3-116
OFBKKLGO_00432_bcrA_1,SM00382,AAA_5,,SMART,7.1,30-211
OFBKKLGO_00442_cshA,SM00487,ultradead3,,SMART,7.1,22-219
OFBKKLGO_00442_cshA,SM00490,helicmild6,,SMART,7.1,255-336
OFBKKLGO_00448_alr,SM01005,Ala_racemase_C_2,,SMART,7.1,245-370
OFBKKLGO_00453_rsbT,SM00387,HKATPase_4,,SMART,7.1,34-133
OFBKKLGO_00454_rsbU,SM00331,PP2C_SIG_2,,SMART,7.1,119-333
OFBKKLGO_00458_rsbX,SM00332,PP2C_4,,SMART,7.1,6-196
OFBKKLGO_00458_rsbX,SM00331,PP2C_SIG_2,,SMART,7.1,9-198
OFBKKLGO_00459_yhgF,SM00316,S1_6,,SMART,7.1,647-718
OFBKKLGO_00459_yhgF,SM00732,rnase_8s,,SMART,7.1,321-419
OFBKKLGO_00461_group_955,SM00731,sprt_6,,SMART,7.1,1-109
OFBKKLGO_00495_adhA,SM00829,PKS_ER_names_mod,,SMART,7.1,8-344
OFBKKLGO_00496_adhR,SM00422,merrmega3,,SMART,7.1,1-70
OFBKKLGO_00518_group_4465,SM00530,mbf_short4,,SMART,7.1,13-85
OFBKKLGO_00521_group_480,SM00422,merrmega3,,SMART,7.1,9-78
OFBKKLGO_00535_pdhR,SM00345,gntr3,,SMART,7.1,15-74
OFBKKLGO_00535_pdhR,SM00895,FCD_2,,SMART,7.1,95-215
OFBKKLGO_00543_yhfP,SM00829,PKS_ER_names_mod,,SMART,7.1,13-328
OFBKKLGO_00555_rex,SM00881,CoA_binding_2,,SMART,7.1,81-180
OFBKKLGO_00560_groS,SM00883,Cpn10_2,,SMART,7.1,1-93
OFBKKLGO_00566_gutB_2,SM00829,PKS_ER_names_mod,,SMART,7.1,15-349
OFBKKLGO_00577_gutB_3,SM00829,PKS_ER_names_mod,,SMART,7.1,8-343
OFBKKLGO_00598_purE,SM01001,AIRC_2,,SMART,7.1,3-154
OFBKKLGO_00600_purB,SM00998,ADSL_C_2,,SMART,7.1,349-429
OFBKKLGO_00603_purQ,SM01211,GATase_5_2,,SMART,7.1,1-219
OFBKKLGO_00608_purH,SM00851,MGS_2a,,SMART,7.1,15-130
OFBKKLGO_00608_purH,SM00798,aicarft_impchas,,SMART,7.1,135-447
OFBKKLGO_00609_purD,SM01209,GARS_A_3,,SMART,7.1,101-293
OFBKKLGO_00609_purD,SM01210,GARS_C_2,,SMART,7.1,325-417
OFBKKLGO_00619_ligA,SM00278,HhH1_4,,SMART,7.1,442-461;540-559;476-495
OFBKKLGO_00619_ligA,SM00532,ligaN3,,SMART,7.1,6-444
OFBKKLGO_00619_ligA,SM00292,BRCT_7,,SMART,7.1,593-669
OFBKKLGO_00626_gatB,SM00845,gatb_yqey_2,,SMART,7.1,326-473
OFBKKLGO_00629_dagK,SM00046,dagk_c4a_7,,SMART,7.1,3-131
OFBKKLGO_00668_yfmS,SM00283,MA_2,,SMART,7.1,99-283
OFBKKLGO_00672_yfmP,SM00422,merrmega3,,SMART,7.1,4-74
OFBKKLGO_00674_ybiT_2,SM00382,AAA_5,,SMART,7.1,28-252;349-518
OFBKKLGO_00675_yfmL,SM00490,helicmild6,,SMART,7.1,255-335
OFBKKLGO_00675_yfmL,SM00487,ultradead3,,SMART,7.1,23-220
OFBKKLGO_00676_yfmJ,SM00829,PKS_ER_names_mod,,SMART,7.1,18-333
OFBKKLGO_00679_pel,SM00656,amb_all,,SMART,7.1,101-353
OFBKKLGO_00689_citS,SM00387,HKATPase_4,,SMART,7.1,420-528
OFBKKLGO_00690_citT,SM00448,REC_2,,SMART,7.1,2-115
OFBKKLGO_00709_treA,SM00642,aamy,,SMART,7.1,16-419
OFBKKLGO_00716_ccpA_1,SM00354,laci3,,SMART,7.1,8-78
OFBKKLGO_00734_group_970,SM00478,endo3end,,SMART,7.1,127-287
OFBKKLGO_00750_acoB,SM00861,Transket_pyr_3,,SMART,7.1,5-192
OFBKKLGO_00760_group_4497,SM00382,AAA_5,,SMART,7.1,391-577
OFBKKLGO_00771_group_3483,SM00347,marrlong4,,SMART,7.1,40-140
OFBKKLGO_00790_mutY,SM00478,endo3end,,SMART,7.1,48-199
OFBKKLGO_00790_mutY,SM00525,ccc3,,SMART,7.1,200-220
OFBKKLGO_00796_group_3487,SM00382,AAA_5,,SMART,7.1,367-553
OFBKKLGO_00817_katA_1,SM01060,Catalase_2,,SMART,7.1,7-391
