Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00003_group_16074,PS50889,S4,S4 RNA-binding domain profile.,PROSITE_PROFILES,2019_11,12-69
OFBKKLGO_00009_guaB,PS51371,CBS,CBS domain profile.,PROSITE_PROFILES,2019_11,157-214
OFBKKLGO_00009_guaB,PS51371,CBS,CBS domain profile.,PROSITE_PROFILES,2019_11,95-153
OFBKKLGO_00011_pdxS,PS51129,PDXS_SNZ_2,PdxS/SNZ family profile.,PROSITE_PROFILES,2019_11,9-294
OFBKKLGO_00012_pdxT,PS51130,PDXT_SNO_2,PdxT/SNO family profile.,PROSITE_PROFILES,2019_11,3-188
OFBKKLGO_00014_serS,PS50862,AA_TRNA_LIGASE_II,Aminoacyl-transfer RNA synthetases class-II family profile.,PROSITE_PROFILES,2019_11,172-410
OFBKKLGO_00018_sleL,PS51782,LYSM,LysM domain profile.,PROSITE_PROFILES,2019_11,1-41
OFBKKLGO_00018_sleL,PS51782,LYSM,LysM domain profile.,PROSITE_PROFILES,2019_11,46-90
OFBKKLGO_00036_group_15993,PS51411,PSP1_C,PSP1 C-terminal domain profile.,PROSITE_PROFILES,2019_11,61-146
OFBKKLGO_00039_group_821,PS50164,GIY_YIG,GIY-YIG domain profile.,PROSITE_PROFILES,2019_11,4-79
OFBKKLGO_00041_abrB,PS51740,SPOVT_ABRB,SpoVT-AbrB domain profile.,PROSITE_PROFILES,2019_11,5-50
OFBKKLGO_00042_metG,PS50886,TRBD,tRNA-binding domain profile.,PROSITE_PROFILES,2019_11,563-663
OFBKKLGO_00044_group_2629,PS51109,G5,G5 domain profile.,PROSITE_PROFILES,2019_11,243-323
OFBKKLGO_00045_rnmV_1,PS50880,TOPRIM,Toprim domain profile.,PROSITE_PROFILES,2019_11,4-94
OFBKKLGO_00046_rsmA,PS51689,SAM_RNA_A_N6_MT,rRNA adenine N(6)-methyltransferase family profile.,PROSITE_PROFILES,2019_11,23-292
OFBKKLGO_00059_mfd,PS51192,HELICASE_ATP_BIND_1,Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.,PROSITE_PROFILES,2019_11,638-799
OFBKKLGO_00059_mfd,PS51194,HELICASE_CTER,Superfamilies 1 and 2 helicase C-terminal domain profile.,PROSITE_PROFILES,2019_11,820-974
OFBKKLGO_00063_group_5774,PS50889,S4,S4 RNA-binding domain profile.,PROSITE_PROFILES,2019_11,1-62
OFBKKLGO_00067_pnp_1,PS50126,S1,S1 domain profile.,PROSITE_PROFILES,2019_11,6-74
OFBKKLGO_00069_group_16125,PS50234,VWFA,VWFA domain profile.,PROSITE_PROFILES,2019_11,1-91
OFBKKLGO_00079_pabA,PS51273,GATASE_TYPE_1,Glutamine amidotransferase type 1 domain profile.,PROSITE_PROFILES,2019_11,1-194
OFBKKLGO_00081_folP,PS50972,PTERIN_BINDING,Pterin-binding domain profile.,PROSITE_PROFILES,2019_11,25-271
OFBKKLGO_00086_lysS,PS50862,AA_TRNA_LIGASE_II,Aminoacyl-transfer RNA synthetases class-II family profile.,PROSITE_PROFILES,2019_11,183-494
OFBKKLGO_00089_mcsA,PS50151,UVR,UVR domain profile.,PROSITE_PROFILES,2019_11,80-115
OFBKKLGO_00090_mcsB,PS51510,PHOSPHAGEN_KINASE_C,Phosphagen kinase C-terminal domain profile.,PROSITE_PROFILES,2019_11,24-254
OFBKKLGO_00091_clpC,PS51903,CLP_R,Clp repeat (R) domain profile.,PROSITE_PROFILES,2019_11,3-145
OFBKKLGO_00091_clpC,PS50151,UVR,UVR domain profile.,PROSITE_PROFILES,2019_11,418-453
OFBKKLGO_00093_disA,PS51794,DAC,Diadenylate cyclase (DAC) domain profile.,PROSITE_PROFILES,2019_11,11-149
OFBKKLGO_00094_yacL,PS51257,PROKAR_LIPOPROTEIN,Prokaryotic membrane lipoprotein lipid attachment site profile.,PROSITE_PROFILES,2019_11,1-15
OFBKKLGO_00094_yacL,PS50926,TRAM,TRAM domain profile.,PROSITE_PROFILES,2019_11,295-356
OFBKKLGO_00118_fusA,PS51722,G_TR_2,Translational (tr)-type guanine nucleotide-binding (G) domain profile.,PROSITE_PROFILES,2019_11,8-282
OFBKKLGO_00119_tuf,PS51722,G_TR_2,Translational (tr)-type guanine nucleotide-binding (G) domain profile.,PROSITE_PROFILES,2019_11,10-205
OFBKKLGO_00128_rpsC,PS50823,KH_TYPE_2,Type-2 KH domain profile.,PROSITE_PROFILES,2019_11,38-106
OFBKKLGO_00128_rpsC,PS50084,KH_TYPE_1,Type-1 KH domain profile.,PROSITE_PROFILES,2019_11,60-100
OFBKKLGO_00139_rpsE,PS50881,S5_DSRBD,S5 double stranded RNA-binding domain profile.,PROSITE_PROFILES,2019_11,13-76
OFBKKLGO_00145_infA,PS50832,S1_IF1_TYPE,S1 domain IF1 type profile.,PROSITE_PROFILES,2019_11,1-72
OFBKKLGO_00147_rpsM,PS50159,RIBOSOMAL_S13_2,Ribosomal protein S13 family profile.,PROSITE_PROFILES,2019_11,4-111
OFBKKLGO_00151_ecfA1,PS51246,CBIO,Cobalt import ATP-binding protein cbiO.,PROSITE_PROFILES,2019_11,6-224
OFBKKLGO_00151_ecfA1,PS50893,ABC_TRANSPORTER_2,"ATP-binding cassette, ABC transporter-type domain profile.",PROSITE_PROFILES,2019_11,7-242
OFBKKLGO_00152_ecfA2,PS51246,CBIO,Cobalt import ATP-binding protein cbiO.,PROSITE_PROFILES,2019_11,2-228
OFBKKLGO_00152_ecfA2,PS50893,ABC_TRANSPORTER_2,"ATP-binding cassette, ABC transporter-type domain profile.",PROSITE_PROFILES,2019_11,3-246
OFBKKLGO_00163_gerD,PS51257,PROKAR_LIPOPROTEIN,Prokaryotic membrane lipoprotein lipid attachment site profile.,PROSITE_PROFILES,2019_11,1-20
OFBKKLGO_00165_group_3395,PS51677,NODB,NodB homology domain profile.,PROSITE_PROFILES,2019_11,57-237
OFBKKLGO_00176_feuA,PS51257,PROKAR_LIPOPROTEIN,Prokaryotic membrane lipoprotein lipid attachment site profile.,PROSITE_PROFILES,2019_11,1-20
OFBKKLGO_00176_feuA,PS50983,FE_B12_PBP,Iron siderophore/cobalamin periplasmic-binding domain profile.,PROSITE_PROFILES,2019_11,58-318
