Query_ID,Subject_ID,Identity,Alignment Length,Mismatches
OFBKKLGO_00073_ftsH,gnl|TC-DB|P0AAI3|3.A.29.1.5 ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) OX=83333 GN=ftsH PE=1 SV=1,51.9,601,274
OFBKKLGO_00086_lysS,gnl|TC-DB|WP_121250785|9.B.111.1.5 lysine--tRNA ligase [Solirubrobacter pauli],48.7,435,205
OFBKKLGO_00091_clpC,"gnl|TC-DB|Q9FI56|3.A.9.1.2 Chaperone protein ClpC1, chloroplastic OS=Arabidopsis thaliana GN=CLPC1 PE=1 SV=1",60.2,807,311
OFBKKLGO_00108_rplA,gnl|TC-DB|Q9ZK21|1.C.82.1.1 50S ribosomal protein L1 - Helicobacter pylori J99 (Campylobacter pylori J99).,57.2,208,89
OFBKKLGO_00142_secY,gnl|TC-DB|P16336|3.A.5.2.1 PREPROTEIN TRANSLOCASE SECY SUBUNIT - Bacillus subtilis.,96.5,431,15
OFBKKLGO_00151_ecfA1,gnl|TC-DB|Q839D5|3.A.1.26.7 Cobalt import ATP-binding protein CbiO 1 OS=Enterococcus faecalis GN=cbiO1 PE=3 SV=1,59.8,271,109
OFBKKLGO_00152_ecfA2,gnl|TC-DB|Q71WH8|3.A.1.25.8 Energy-coupling factor transporter ATP-binding protein EcfA2 OS=Listeria monocytogenes serotype 4b (strain F2365) OX=265669 GN=ecfA2 PE=3 SV=1,59.9,282,113
OFBKKLGO_00153_ecfT,gnl|TC-DB|Q8Y456|3.A.1.25.8 Energy-coupling factor transporter transmembrane protein EcfT OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e) OX=169963 GN=ecfT PE=3 SV=1,58.1,265,111
OFBKKLGO_00174_feuC_1,gnl|TC-DB|P40411|3.A.1.14.15 Iron-uptake system permease protein feuC - Bacillus subtilis.,83.3,336,56
OFBKKLGO_00175_feuB_1,gnl|TC-DB|P40410|3.A.1.14.15 Iron-uptake system permease protein feuB - Bacillus subtilis.,85.3,334,49
OFBKKLGO_00176_feuA,gnl|TC-DB|P40409|3.A.1.14.15 Iron-uptake system-binding protein - Bacillus subtilis.,83.3,318,52
OFBKKLGO_00181_group_3400,gnl|TC-DB|S6FVR4|4.A.1.2.17 PTS system N-acetylmuramic acid-specific EIIBC component OS=Bacillus velezensis UCMB5033 OX=1338518 GN=murP PE=4 SV=1,94.7,454,24
OFBKKLGO_00201_yifK,gnl|TC-DB|P27837|2.A.3.1.15 Probable transport protein YifK OS=Escherichia coli (strain K12) GN=yifK PE=1 SV=4,63.5,447,161
OFBKKLGO_00230_gltP,gnl|TC-DB|P24943|2.A.23.1.2 PROTON/SODIUM-GLUTAMATE SYMPORT PROTEIN (GLUTAMATE-ASPARTATE CARRIER PROTEIN) - Bacillus stearothermophilus.,46.4,401,210
OFBKKLGO_00232_rocC_2,gnl|TC-DB|Q47689|2.A.3.1.10 Probable S-methylmethionine permease - Escherichia coli.,64.0,450,158
OFBKKLGO_00234_alsT_2,gnl|TC-DB|Q45068|2.A.25.1.5 Amino-acid carrier protein AlsT OS=Bacillus subtilis (strain 168) GN=alsT PE=2 SV=1,53.4,464,211
OFBKKLGO_00250_tatAd,gnl|TC-DB|O31467|2.A.64.3.1 Sec-independent protein translocase protein tatAd - Bacillus subtilis.,77.1,70,11
OFBKKLGO_00251_tatC1,gnl|TC-DB|P42252|2.A.64.3.1 Sec-independent protein translocase protein tatCd - Bacillus subtilis.,75.9,241,58
OFBKKLGO_00254_emrY,gnl|TC-DB|O35018|2.A.1.3.30 Lincomycin resistance protein lmrB - Bacillus subtilis.,87.3,474,60
OFBKKLGO_00268_znuA,gnl|TC-DB|O34966|3.A.1.15.11 Probable zinc transport system zinc-binding lipoprotein adcA OS=Bacillus subtilis GN=adcA PE=1 SV=1,83.4,319,52
OFBKKLGO_00269_znuC,gnl|TC-DB|O34946|3.A.1.15.11 Probable zinc transport system ATP-binding protein adcC OS=Bacillus subtilis GN=adcC PE=2 SV=1,90.9,231,21
OFBKKLGO_00270_znuB,gnl|TC-DB|O34610|3.A.1.15.11 Probable zinc transport system permease protein adcB OS=Bacillus subtilis GN=adcB PE=2 SV=1,89.5,276,29
OFBKKLGO_00275_alx,gnl|TC-DB|B5UIP4|2.A.109.1.3 Putative tellurium resistance protein OS=Bacillus cereus AH1134 GN=BCAH1134_0458 PE=4 SV=1,62.6,262,92
OFBKKLGO_00278_naiP,gnl|TC-DB|O34691|2.A.1.82.4 Hypothetical metabolite transport protein yceI - Bacillus subtilis.,79.4,399,81
OFBKKLGO_00280_opuAA,gnl|TC-DB|P46920|3.A.1.12.2 Glycine betaine transport ATP-binding protein opuAA - Bacillus subtilis.,91.4,418,36
OFBKKLGO_00281_opuAB,gnl|TC-DB|P46921|3.A.1.12.2 Glycine betaine transport system permease protein opuAB - Bacillus subtilis.,95.0,282,14
OFBKKLGO_00282_opuAC,gnl|TC-DB|P46922|3.A.1.12.2 Glycine betaine-binding protein precursor - Bacillus subtilis.,84.3,293,46
OFBKKLGO_00296_dgoT,gnl|TC-DB|P0AA76|2.A.1.14.7 D-galactonate transporter - Escherichia coli.,45.7,422,224
OFBKKLGO_00309_yciC,gnl|TC-DB|P94400|9.B.10.1.1 Putative metal chaperone yciC OS=Bacillus subtilis GN=yciC PE=2 SV=1,83.8,396,63
