Query_ID,Subject_ID,Identity,Alignment Length,Mismatches
OFBKKLGO_00001_dnaA_1,WP_014469587.1 chromosomal replication initiator protein DnaA [Bacillus amyloliquefaciens],100.0,446,0
OFBKKLGO_00002_dnaN,WP_014469588.1 DNA polymerase III subunit beta [Bacillus amyloliquefaciens],100.0,378,0
OFBKKLGO_00003_group_16074,AFJ60098.1 conserved hypothetical protein YaaA [Bacillus amyloliquefaciens Y2],100.0,71,0
OFBKKLGO_00004_recF,WP_013350724.1 MULTISPECIES: DNA replication/repair protein RecF [Bacillus],99.7,370,1
OFBKKLGO_00008_group_1681,AEK87162.1 hypothetical protein BAXH7_00008 [Bacillus amyloliquefaciens XH7],99.1,114,1
OFBKKLGO_00009_guaB,WP_014469590.1 IMP dehydrogenase [Bacillus amyloliquefaciens],100.0,488,0
OFBKKLGO_00010_dacA,WP_013350728.1 D-alanyl-D-alanine carboxypeptidase [Bacillus amyloliquefaciens],99.8,443,1
OFBKKLGO_00011_pdxS,WP_013350729.1 MULTISPECIES: pyridoxal 5'-phosphate synthase lyase subunit PdxS [Bacillus amyloliquefaciens group],100.0,294,0
OFBKKLGO_00012_pdxT,WP_013350730.1 pyridoxal 5'-phosphate synthase glutaminase subunit PdxT [Bacillus amyloliquefaciens],100.0,196,0
OFBKKLGO_00014_serS,WP_013350731.1 serine--tRNA ligase [Bacillus amyloliquefaciens],100.0,425,0
OFBKKLGO_00016_dck,WP_013350733.1 deoxynucleoside kinase [Bacillus amyloliquefaciens],100.0,217,0
OFBKKLGO_00017_dgk,WP_013350734.1 MULTISPECIES: deoxynucleoside kinase [Bacillus],100.0,207,0
OFBKKLGO_00018_sleL,WP_013350735.1 glycoside hydrolase family 18 protein [Bacillus amyloliquefaciens],99.5,426,2
OFBKKLGO_00022_dnaX,WP_013350738.1 DNA polymerase III subunit gamma/tau [Bacillus amyloliquefaciens],99.8,563,1
OFBKKLGO_00023_group_15927,WP_003150700.1 MULTISPECIES: YbaB/EbfC family nucleoid-associated protein [Bacillus],100.0,107,0
OFBKKLGO_00025_group_5762,WP_013350739.1 YaaL family protein [Bacillus amyloliquefaciens],100.0,74,0
OFBKKLGO_00028_csfB,WP_014469592.1 sigma factor G inhibitor Gin [Bacillus amyloliquefaciens],100.0,64,0
OFBKKLGO_00032_tmk,WP_013350744.1 dTMP kinase [Bacillus amyloliquefaciens],100.0,212,0
OFBKKLGO_00033_darA,WP_004264734.1 MULTISPECIES: cyclic di-AMP receptor DarA [Bacillus],100.0,109,0
OFBKKLGO_00034_group_4391,WP_013350745.1 DUF327 family protein [Bacillus amyloliquefaciens],99.3,146,1
OFBKKLGO_00035_group_5764,WP_013350746.1 DNA polymerase III subunit delta' [Bacillus amyloliquefaciens],100.0,322,0
OFBKKLGO_00036_group_15993,WP_013350747.1 competence/sporulation regulator complex protein RicT [Bacillus amyloliquefaciens],99.6,275,1
OFBKKLGO_00037_yabA,WP_013350748.1 DNA replication initiation control protein YabA [Bacillus amyloliquefaciens],99.2,119,1
OFBKKLGO_00038_yfiC,WP_014469594.1 tRNA1(Val) (adenine(37)-N6)-methyltransferase [Bacillus amyloliquefaciens],100.0,247,0
OFBKKLGO_00039_group_821,WP_013350750.1 GIY-YIG nuclease family protein [Bacillus amyloliquefaciens],100.0,99,0
OFBKKLGO_00040_rsmI,WP_013350751.1 16S rRNA (cytidine(1402)-2'-O)-methyltransferase [Bacillus amyloliquefaciens],100.0,293,0
OFBKKLGO_00041_abrB,WP_186434521.1 transition state genes transcriptional regulator AbrB [Bacillus amyloliquefaciens],100.0,94,0
OFBKKLGO_00042_metG,WP_014469597.1 methionine--tRNA ligase [Bacillus amyloliquefaciens],100.0,663,0
OFBKKLGO_00044_group_2629,WP_014471348.1 G5 and 3D domain-containing protein [Bacillus amyloliquefaciens],100.0,439,0
OFBKKLGO_00045_rnmV_1,WP_013350755.1 MULTISPECIES: ribonuclease M5 [Bacillus],100.0,187,0
OFBKKLGO_00046_rsmA,WP_013350756.1 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA [Bacillus amyloliquefaciens],100.0,293,0
OFBKKLGO_00047_yabG,WP_013350757.1 sporulation peptidase YabG [Bacillus amyloliquefaciens],99.7,291,1
OFBKKLGO_00048_veg,WP_003218330.1 MULTISPECIES: protein Veg [Bacilli],100.0,86,0
OFBKKLGO_00049_group_16234,"WP_011996172.1 MULTISPECIES: small, acid-soluble spore protein, alpha/beta type [Bacillus]",98.4,62,1
OFBKKLGO_00050_ispE,WP_013350758.1 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Bacillus amyloliquefaciens],100.0,289,0
OFBKKLGO_00051_purR,WP_013350759.1 pur operon repressor [Bacillus amyloliquefaciens],100.0,285,0
OFBKKLGO_00052_yabJ,WP_004264663.1 MULTISPECIES: RidA family protein [Bacillus],100.0,126,0
OFBKKLGO_00053_spoVG,WP_004264660.1 MULTISPECIES: septation regulator SpoVG [Bacillus],99.0,97,1
OFBKKLGO_00054_glmU,WP_014469600.1 bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Bacillus amyloliquefaciens],100.0,456,0
OFBKKLGO_00055_prs,WP_013350761.1 MULTISPECIES: ribose-phosphate diphosphokinase [Bacillus],100.0,317,0
OFBKKLGO_00056_ctc,WP_013350762.1 50S ribosomal protein L25/general stress protein Ctc [Bacillus amyloliquefaciens],100.0,202,0
OFBKKLGO_00057_pth,WP_013350763.1 aminoacyl-tRNA hydrolase [Bacillus amyloliquefaciens],100.0,188,0
OFBKKLGO_00058_fin,WP_013350764.1 anti-sigma-F factor Fin family protein [Bacillus amyloliquefaciens],100.0,76,0
OFBKKLGO_00059_mfd,WP_014469601.1 transcription-repair coupling factor [Bacillus amyloliquefaciens],100.0,1177,0
OFBKKLGO_00061_murJ_1,WP_013350767.1 polysaccharide biosynthesis protein [Bacillus amyloliquefaciens],100.0,526,0
OFBKKLGO_00062_group_3077,WP_014469602.1 nucleoside triphosphate pyrophosphohydrolase [Bacillus amyloliquefaciens],100.0,491,0
OFBKKLGO_00063_group_5774,WP_007409934.1 MULTISPECIES: RNA-binding S4 domain-containing protein [Bacillus],100.0,86,0
OFBKKLGO_00064_yabP,WP_004264638.1 MULTISPECIES: sporulation protein YabP [Bacillus],100.0,100,0
OFBKKLGO_00066_divIC,WP_013350770.1 septum formation initiator family protein [Bacillus amyloliquefaciens],99.2,125,1
OFBKKLGO_00067_pnp_1,WP_004264630.1 MULTISPECIES: RNA-binding protein S1 [Bacillus],100.0,128,0
OFBKKLGO_00069_group_16125,WP_013350772.1 VWA domain-containing protein [Bacillus amyloliquefaciens],99.6,245,1
OFBKKLGO_00071_tilS,AEK87225.1 hypothetical protein BAXH7_00072 [Bacillus amyloliquefaciens XH7],100.0,472,0
OFBKKLGO_00072_hpt,WP_014469606.1 hypoxanthine phosphoribosyltransferase [Bacillus amyloliquefaciens],100.0,179,0
OFBKKLGO_00073_ftsH,WP_014469607.1 ATP-dependent zinc metalloprotease FtsH [Bacillus amyloliquefaciens],100.0,639,0
OFBKKLGO_00074_coaX,WP_013350777.1 MULTISPECIES: type III pantothenate kinase [Bacillus],100.0,246,0
OFBKKLGO_00075_hslO,WP_013350778.1 Hsp33 family molecular chaperone HslO [Bacillus amyloliquefaciens],100.0,291,0
OFBKKLGO_00077_cysK_1,WP_013350780.1 cysteine synthase A [Bacillus amyloliquefaciens],100.0,308,0
OFBKKLGO_00078_pabB,"WP_014469609.1 aminodeoxychorismate synthase, component I [Bacillus amyloliquefaciens]",100.0,470,0
OFBKKLGO_00079_pabA,WP_013350782.1 aminodeoxychorismate/anthranilate synthase component II [Bacillus amyloliquefaciens],100.0,195,0
OFBKKLGO_00080_pabC,WP_013350783.1 aminodeoxychorismate lyase [Bacillus amyloliquefaciens],99.6,283,1
OFBKKLGO_00081_folP,WP_013350784.1 dihydropteroate synthase [Bacillus amyloliquefaciens],100.0,285,0
OFBKKLGO_00082_folB,WP_013350785.1 dihydroneopterin aldolase [Bacillus amyloliquefaciens],100.0,120,0
OFBKKLGO_00083_sulD,WP_013350786.1 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [Bacillus amyloliquefaciens],100.0,167,0
OFBKKLGO_00085_dusB,WP_013350787.1 tRNA dihydrouridine synthase DusB [Bacillus amyloliquefaciens],100.0,333,0
OFBKKLGO_00086_lysS,WP_013350788.1 lysine--tRNA ligase [Bacillus amyloliquefaciens],100.0,499,0
OFBKKLGO_00088_ctsR,WP_003156396.1 MULTISPECIES: transcriptional regulator CtsR [Bacillus],99.4,154,1
OFBKKLGO_00089_mcsA,AEB61641.1 activator of protein kinase McsB [Bacillus amyloliquefaciens LL3],100.0,126,0
OFBKKLGO_00090_mcsB,WP_013350790.1 protein arginine kinase [Bacillus amyloliquefaciens],100.0,363,0
OFBKKLGO_00091_clpC,WP_013350791.1 ATP-dependent Clp protease ATP-binding subunit [Bacillus amyloliquefaciens],100.0,811,0
OFBKKLGO_00093_disA,WP_014469611.1 DNA integrity scanning protein DisA [Bacillus amyloliquefaciens],100.0,360,0
OFBKKLGO_00094_yacL,WP_013350794.1 PIN/TRAM domain-containing protein [Bacillus amyloliquefaciens],100.0,366,0
OFBKKLGO_00095_ispD,AEK87248.1 2-C-methyl-D-erythritol 4-phosphate [Bacillus amyloliquefaciens XH7],100.0,232,0
OFBKKLGO_00096_ispF,"WP_013350796.1 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Bacillus amyloliquefaciens]",100.0,158,0
OFBKKLGO_00097_gltX,WP_014469613.1 glutamate--tRNA ligase [Bacillus amyloliquefaciens],100.0,483,0
OFBKKLGO_00099_cysE,EIF15553.1 Bacterial transferase hexapeptide (six repeats) [Bacillus sp. 5B6],100.0,217,0
OFBKKLGO_00100_cysS,WP_013350799.1 MULTISPECIES: cysteine--tRNA ligase [Bacillus],100.0,466,0
