Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00001_dnaA_1,PR00051,DNAA,Bacterial chromosomal replication initiator (DNAA) signature,PRINTS,42.0,144-164;176-190;242-269;405-424;208-222
OFBKKLGO_00010_dacA,PR00725,DADACBPTASE1,D-Ala-D-Ala carboxypeptidase 1 (S11) family signature,PRINTS,42.0,67-78;124-141;151-164
OFBKKLGO_00014_serS,PR00981,TRNASYNTHSER,Seryl-tRNA synthetase signature,PRINTS,42.0,276-289;333-349;316-329;264-276;351-367
OFBKKLGO_00022_dnaX,PR00300,CLPPROTEASEA,ATP-dependent Clp protease ATP-binding subunit signature,PRINTS,42.0,124-142;41-59
OFBKKLGO_00042_metG,PR01041,TRNASYNTHMET,Methionyl-tRNA synthetase signature,PRINTS,42.0,10-23;90-101;362-373;270-285;42-56;237-248
OFBKKLGO_00078_pabB,PR00095,ANTSNTHASEI,Anthranilate synthase component I signature,PRINTS,42.0,301-314;395-409;410-424;315-328
OFBKKLGO_00079_pabA,PR00099,CPSGATASE,Carbamoyl-phosphate synthase protein GATase domain signature,PRINTS,42.0,44-58;74-90
OFBKKLGO_00079_pabA,PR00097,ANTSNTHASEII,Anthranilate synthase component II signature,PRINTS,42.0,2-16;74-85;99-107;47-56;164-177;119-131
OFBKKLGO_00079_pabA,PR00096,GATASE,Glutamine amidotransferase superfamily signature,PRINTS,42.0,74-85;47-56;164-177
OFBKKLGO_00086_lysS,PR00982,TRNASYNTHLYS,Lysyl-tRNA synthetase signature,PRINTS,42.0,211-227;240-253;258-275;195-205;381-397
OFBKKLGO_00091_clpC,PR00300,CLPPROTEASEA,ATP-dependent Clp protease ATP-binding subunit signature,PRINTS,42.0,649-663;616-634;542-560;587-605
OFBKKLGO_00097_gltX,PR00987,TRNASYNTHGLU,Glutamyl-tRNA synthetase signature,PRINTS,42.0,210-218;37-50;22-33;194-204;8-20
OFBKKLGO_00100_cysS,PR00983,TRNASYNTHCYS,Cysteinyl-tRNA synthetase signature,PRINTS,42.0,222-243;26-37;62-71;191-209
OFBKKLGO_00106_nusG_1,PR00338,NUSGTNSCPFCT,Transcription termination factor NUSG signature,PRINTS,42.0,57-69;153-169;135-150
OFBKKLGO_00116_rpsL,PR01034,RIBOSOMALS12,Ribosomal protein S12 signature,PRINTS,42.0,40-55;71-90;90-107;107-123;55-70;123-135
OFBKKLGO_00118_fusA,PR00315,ELONGATNFCT,GTP-binding elongation factor signature,PRINTS,42.0,78-88;94-105;12-25;130-139;58-66
OFBKKLGO_00119_tuf,PR00315,ELONGATNFCT,GTP-binding elongation factor signature,PRINTS,42.0,79-89;14-27;59-67;132-141;95-106
OFBKKLGO_00121_rpsJ,PR00971,RIBOSOMALS10,Ribosomal protein S10 family signature,PRINTS,42.0,5-18;61-75;40-55
OFBKKLGO_00126_rpsS,PR00975,RIBOSOMALS19,Ribosomal protein S19 family signature,PRINTS,42.0,65-80;33-52;53-65
OFBKKLGO_00129_rplP,PR00060,RIBOSOMALL16,Ribosomal protein L16 signature,PRINTS,42.0,24-36;58-87;42-53;88-117
OFBKKLGO_00131_rpsQ,PR00973,RIBOSOMALS17,Ribosomal protein S17 family signature,PRINTS,42.0,58-68;68-75;26-49
OFBKKLGO_00137_rplF,PR00059,RIBOSOMALL6,Ribosomal protein L6 signature,PRINTS,42.0,142-163;100-116;72-97
OFBKKLGO_00142_secY,PR00303,SECYTRNLCASE,Preprotein translocase SecY subunit signature,PRINTS,42.0,146-171;364-382;67-87;309-331;18-36;269-288;109-132;172-195;398-416
OFBKKLGO_00143_adk,PR00094,ADENYLTKNASE,Adenylate kinase signature,PRINTS,42.0,160-175;4-17;32-46;81-97;177-191
OFBKKLGO_00144_map,PR00599,MAPEPTIDASE,Methionine aminopeptidase-1 signature,PRINTS,42.0,159-171;190-202;67-80;89-105
OFBKKLGO_00169_group_3396,PR00377,IMPHPHTASES,Inositol monophosphatase superfamily signature,PRINTS,42.0,80-96;241-265;36-56
OFBKKLGO_00189_glmM,PR00509,PGMPMM,Phosphoglucomutase/phosphomannomutase family signature,PRINTS,42.0,233-248;173-192;93-107
