Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00022_dnaX,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,392-415
OFBKKLGO_00023_group_15927,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-24
OFBKKLGO_00056_ctc,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,188-202
OFBKKLGO_00056_ctc,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,179-202
OFBKKLGO_00064_yabP,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-22
OFBKKLGO_00064_yabP,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-17
OFBKKLGO_00067_pnp_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,72-122
OFBKKLGO_00067_pnp_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,72-128
OFBKKLGO_00113_rpoB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1149-1193
OFBKKLGO_00122_rplC,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,122-143
OFBKKLGO_00123_rplD,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,48-78
OFBKKLGO_00123_rplD,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,49-63
OFBKKLGO_00125_rplB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,256-277
OFBKKLGO_00125_rplB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,224-277
OFBKKLGO_00125_rplB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,37-58
OFBKKLGO_00138_rplR,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-22
OFBKKLGO_00141_rplO,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-54
OFBKKLGO_00141_rplO,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-17
OFBKKLGO_00147_rpsM,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,107-121
OFBKKLGO_00147_rpsM,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,93-121
OFBKKLGO_00188_cdaR_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,410-476
OFBKKLGO_00188_cdaR_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,410-432
OFBKKLGO_00188_cdaR_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,434-452
OFBKKLGO_00188_cdaR_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,453-476
OFBKKLGO_00268_znuA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,127-146
OFBKKLGO_00337_gerBA_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,516-546
OFBKKLGO_00337_gerBA_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,507-546
OFBKKLGO_00337_gerBA_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,7-37
OFBKKLGO_00337_gerBA_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-37
OFBKKLGO_00373_mtlA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,362-382
OFBKKLGO_00400_topB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,452-475
OFBKKLGO_00400_topB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,440-475
OFBKKLGO_00400_topB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,685-705
OFBKKLGO_00400_topB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,685-715
OFBKKLGO_00426_ydbD,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,239-255
OFBKKLGO_00426_ydbD,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,228-273
OFBKKLGO_00442_cshA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,427-494
OFBKKLGO_00442_cshA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,469-488
OFBKKLGO_00531_ydhK,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,25-58
OFBKKLGO_00531_ydhK,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,30-48
OFBKKLGO_00541_group_1719,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,245-284
OFBKKLGO_00573_group_6873,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,280-307
OFBKKLGO_00573_group_6873,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,280-302
OFBKKLGO_00574_oatA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,412-491
OFBKKLGO_00574_oatA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,412-426
OFBKKLGO_00574_oatA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,427-481
OFBKKLGO_00593_group_2140,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-26
OFBKKLGO_00593_group_2140,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-47
OFBKKLGO_00593_group_2140,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,33-47
OFBKKLGO_00618_pcrA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,653-673
OFBKKLGO_00679_pel,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,124-138
OFBKKLGO_00679_pel,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,120-141
OFBKKLGO_00706_group_16089,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,66-80
OFBKKLGO_00706_group_16089,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,58-80
OFBKKLGO_00714_yfkN,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1358-1386
OFBKKLGO_00714_yfkN,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1358-1383
OFBKKLGO_00751_pdhC_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,84-117
OFBKKLGO_00774_fbiB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,175-194
OFBKKLGO_00774_fbiB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,177-194
OFBKKLGO_00775_group_2154,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,13-63
OFBKKLGO_00775_group_2154,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-63
OFBKKLGO_00793_group_1740,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-56
OFBKKLGO_00817_katA_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-24
OFBKKLGO_00839_emrB_2,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,512-531
OFBKKLGO_00856_group_5526,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,201-221
OFBKKLGO_00859_rluD_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,181-202
OFBKKLGO_00859_rluD_1,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,181-199
OFBKKLGO_00875_lytF,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,72-91
OFBKKLGO_00875_lytF,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,210-236
OFBKKLGO_00875_lytF,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,134-164
OFBKKLGO_00875_lytF,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,277-299
OFBKKLGO_00883_ydaD_2,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-38
OFBKKLGO_00883_ydaD_2,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-21
OFBKKLGO_00933_hpr,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,177-203
OFBKKLGO_00933_hpr,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,177-195
OFBKKLGO_01090_sleB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,129-162
OFBKKLGO_01090_sleB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,143-162
OFBKKLGO_01156_recU,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-30
OFBKKLGO_01156_recU,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,8-30
OFBKKLGO_01158_sspM,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-34
OFBKKLGO_01158_sspM,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,8-24
OFBKKLGO_01174_group_16318,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,23-43
OFBKKLGO_01174_group_16318,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,21-50
OFBKKLGO_01386_group_2197,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-22
OFBKKLGO_01386_group_2197,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-47
OFBKKLGO_01386_group_2197,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,30-47
OFBKKLGO_01388_sspL,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-42
OFBKKLGO_01388_sspL,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,25-42
OFBKKLGO_01441_kamA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,431-473
OFBKKLGO_01450_group_6035,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,1-41
OFBKKLGO_01452_yodJ,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,30-54
OFBKKLGO_01452_yodJ,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,33-54
OFBKKLGO_01479_group_6043,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,327-352
OFBKKLGO_01479_group_6043,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,303-356
OFBKKLGO_01480_odhA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,917-944
OFBKKLGO_01480_odhA,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,915-944
OFBKKLGO_01481_odhB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,168-185
OFBKKLGO_01481_odhB,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,76-190
OFBKKLGO_01491_group_3585,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,61-90
OFBKKLGO_01495_yocK,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,115-163
OFBKKLGO_01495_yocK,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,19-44
OFBKKLGO_01495_yocK,mobidb-lite,disorder_prediction,consensus disorder prediction,MOBIDB_LITE,2.0,19-34
