Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00047_yabG,PD127708,,YABG PROTEASE SPORULATION-SPECIFIC PEPTIDASE U57 BH0058 ORTHOLOG SPORE FAMILY B.SUBTILIS,PRODOM,2006.1,4-283
OFBKKLGO_00051_purR,PD029816,,REPRESSOR OPERON PUR TRANSCRIPTION PURINE TRANSCRIPTIONAL PURR REGULATION DNA-BINDING GLYCOSYLTRANSFERASE,PRODOM,2006.1,9-74
OFBKKLGO_00056_ctc,PD012503,,RIBOSOMAL L25 50S RRNA-BINDING RNA-BINDING RIBONUCLEOPROTEIN STRESS GENERAL CTC RRNA,PRODOM,2006.1,4-91
OFBKKLGO_00058_fin,PD057826,,YABK,PRODOM,2006.1,4-76
OFBKKLGO_00064_yabP,PD067726,,YABP B.SUBTILIS PRECURSOR UNCHARACTERIZED BH0074 SIGNAL CPE2477 PROTEIN,PRODOM,2006.1,16-100
OFBKKLGO_00107_rplK,PD001367,,RIBOSOMAL RIBONUCLEOPROTEIN L11 RRNA-BINDING RNA-BINDING METHYLATION 50S L11 BACTERIAL CHLOROPLAST,PRODOM,2006.1,36-73
OFBKKLGO_00111_rplL,PD001326,,RIBOSOMAL L7/L12 50S RIBONUCLEOPROTEIN CHLOROPLAST L12 PLASTID DIRECT SEQUENCING PEPTIDE,PRODOM,2006.1,58-96
OFBKKLGO_00131_rpsQ,PD001295,,RIBOSOMAL S17 30S RIBONUCLEOPROTEIN RRNA-BINDING RNA-BINDING 40S S11 S17P S11,PRODOM,2006.1,7-78
OFBKKLGO_00146_rpmJ,PD002101,,RIBOSOMAL L36 RIBONUCLEOPROTEIN 50S CHLOROPLAST PLASTID B SUBUNIT DIRECT SEQUENCING,PRODOM,2006.1,10-37
OFBKKLGO_00149_rpoA,PD001179,,RNA POLYMERASE ALPHA DNA-DIRECTED SUBUNIT CHAIN NUCLEOTIDYLTRANSFERASE TRANSFERASE TRANSCRIPTION TRANSCRIPTASE,PRODOM,2006.1,253-310
OFBKKLGO_00210_csgA,PD059965,,SASP SPORULATION-SPECIFIC SIGMA-G-DEPENDENT SPORULATION SPECIFIC CSGA,PRODOM,2006.1,2-82
OFBKKLGO_00219_group_1688,PD060054,,MEMBRANE SPANNING TRANSMEMBRANE YBEF,PRODOM,2006.1,2-73
OFBKKLGO_00312_group_3426,PD673109,,PRECURSOR SIGNAL YCKD ORF4 DOMAIN,PRODOM,2006.1,1-106
OFBKKLGO_00429_dcuR_1,PD007170,,TRANSCRIPTION REGULATORY REGULATION FIMBRIA FIMBRIAL PLASMID ACTIVATOR PAPI OPERON PEFI,PRODOM,2006.1,161-204
OFBKKLGO_00451_rsbRA,PD936484,,POLYPROTEIN GLYCOPROTEIN M G2 TRANSMEMBRANE NONSTRUCTURAL MEMBRANE CONTAINS: PRECURSOR SIGNAL,PRODOM,2006.1,9-134
OFBKKLGO_00454_rsbU,PD685490,,RSBU REGULATOR SIGMA REGULATION FACTOR B PHOSPHATASE SIGMAB INDIRECT SIGMA-B,PRODOM,2006.1,5-91
OFBKKLGO_00558_group_15766,PD053380,,YDIK LIPOPROTEIN TRANSMEMBRANE MEMBRANE PRECURSOR PALMITATE SIGNAL,PRODOM,2006.1,1-63
OFBKKLGO_00593_group_2140,PD113106,,YVBI TRANSMEMBRANE MEMBRANE YEBC YBEC,PRODOM,2006.1,62-251
OFBKKLGO_00602_purS,PD010362,,PHOSPHORIBOSYLFORMYLGLYCINAMIDINE PURS SYNTHETASE SYNTHASE COMPONENT SYNTHASE LIGASE FGAM UPF0062 I,PRODOM,2006.1,9-80
OFBKKLGO_00642_group_5877,PD059966,,COTJA SPORE PROTEIN-RELATED COAT-ASSOCIATED COTJAA JA,PRODOM,2006.1,10-75
OFBKKLGO_00697_group_4486,PD049467,,YFLJ,PRODOM,2006.1,1-43
OFBKKLGO_00754_sspH,PD052450,,H SPORE ACID-SOLUBLE SMALL SASP SPORULATION SMALL PROTEIN-RELATED SOLUBLE RBL04815,PRODOM,2006.1,1-59
OFBKKLGO_00775_group_2154,PD053407,,YFHD,PRODOM,2006.1,1-63
OFBKKLGO_00801_group_4505,PD355753,,MEMBRANE TRANSMEMBRANE UPF0295 BLI00901/BL05075 BT9727_0449 GK0479 BCE0593 YGZB PRECURSOR BA0538/GBAA0538/BAS0506,PRODOM,2006.1,1-113
OFBKKLGO_00802_group_5901,PD128250,,YGXA BH0953,PRODOM,2006.1,1-279
OFBKKLGO_00886_yhdK,PD065873,,YHDK TRANSCRIPTION ANTI-SIGMA-M REPRESSOR TRANSMEMBRANE MEMBRANE PROBABLE REGULATION FACTOR,PRODOM,2006.1,1-96
OFBKKLGO_00898_group_4527,PD047280,,YHDX,PRODOM,2006.1,1-33
OFBKKLGO_00911_group_16057,PD056348,,YHEE BH1143,PRODOM,2006.1,1-68
OFBKKLGO_00932_yhaI,PD073069,,YHAI 3D-STRUCTURE,PRODOM,2006.1,7-110
OFBKKLGO_00936_trpP,PD968187,,BETA-DEFENSIN ANTIBIOTIC PRECURSOR ANTIMICROBIAL DEFENSIN BETA SIGNAL DEFENSIN BD-32 DEFB-32,PRODOM,2006.1,1-165
OFBKKLGO_01002_group_5938,PD067392,,MEMBRANE UPF0344 TRANSMEMBRANE MW0851 BCE1257 SIMILAR YISL SAR0931 BCE33L1051 BT9727_1053,PRODOM,2006.1,1-94
OFBKKLGO_01026_group_2768,PD076312,,INHIBITOR INTRACELLULAR PROTEINASE PRECURSOR SIGNAL DOMAIN SLH S-LAYER PROTEASE BSUPI,PRODOM,2006.1,34-153
OFBKKLGO_01093_group_5962,PD052359,,YPFB,PRODOM,2006.1,1-57
OFBKKLGO_01101_group_1229,PD054986,,YPHE TRANSMEMBRANE MEMBRANE PRECURSOR BH1643 SIGNAL,PRODOM,2006.1,2-67
OFBKKLGO_01102_group_3544,PD119161,,YPHF BH1644 PROTEINS PRECURSOR ORF1 RBL05088 SIGNAL SIMILAR,PRODOM,2006.1,17-239
OFBKKLGO_01115_aroH,PD031888,,MUTASE CHORISMATE AROH THE CLASS ISOMERASE TRANSCRIPTION BIOSYNTHESIS CM 3D-STRUCTURE,PRODOM,2006.1,9-127
OFBKKLGO_01146_panD,PD009294,,ASPARTATE 1-DECARBOXYLASE DECARBOXYLASE CHAIN LYASE ALPHA ALPHA- CONTAINS: PRECURSOR BETA,PRODOM,2006.1,5-98
OFBKKLGO_01161_group_15791,PD968187,,BETA-DEFENSIN ANTIBIOTIC PRECURSOR ANTIMICROBIAL DEFENSIN BETA SIGNAL DEFENSIN BD-32 DEFB-32,PRODOM,2006.1,1-60
OFBKKLGO_01393_group_4606,PD062992,,CYTOSOLIC YPZA BH2151,PRODOM,2006.1,12-82
OFBKKLGO_01394_degR,PD968187,,BETA-DEFENSIN ANTIBIOTIC PRECURSOR ANTIMICROBIAL DEFENSIN BETA SIGNAL DEFENSIN BD-32 DEFB-32,PRODOM,2006.1,1-60
OFBKKLGO_01397_metAA,PD037892,,HOMOSERINE O-SUCCINYLTRANSFERASE TRANSFERASE ACYLTRANSFERASE BIOSYNTHESIS TRANSSUCCINYLASE HTS METHIONINE O- AMINO-ACID,PRODOM,2006.1,38-289
OFBKKLGO_01447_group_16332,PD052277,,YOZD,PRODOM,2006.1,1-56
OFBKKLGO_01449_group_15811,PD030115,,YODL GK1575,PRODOM,2006.1,3-104
OFBKKLGO_01529_rtp,PD077583,,REPLICATION TRANSCRIPTION DNA-BINDING TERMINATOR REGULATION TERMINATION 3D-STRUCTURE,PRODOM,2006.1,14-125
OFBKKLGO_01579_group_2807,PD070949,,MEMBRANE PROTEIN YVLA SPANNING SIMILAR SE2241 LMO0604 LMO2177 LIN2280 INTEGRAL,PRODOM,2006.1,1-99
OFBKKLGO_01597_sspO,PD050103,,O SPORE SMALL ACID-SOLUBLE SASP SPORULATION CAPSID COAT K SEQUENCING,PRODOM,2006.1,3-48
OFBKKLGO_01600_group_2808,PD086666,,YNEK BH2332,PRODOM,2006.1,11-141
