Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00001_dnaA_1,SSF48295,TrpR-like,,SUPERFAMILY,1.75,342-446
OFBKKLGO_00001_dnaA_1,SSF52540,P-loop containing nucleoside triphosphate hydrolases,,SUPERFAMILY,1.75,111-323
OFBKKLGO_00002_dnaN,SSF55979,DNA clamp,,SUPERFAMILY,1.75,134-251
OFBKKLGO_00002_dnaN,SSF55979,DNA clamp,,SUPERFAMILY,1.75,1-127
OFBKKLGO_00002_dnaN,SSF55979,DNA clamp,,SUPERFAMILY,1.75,254-377
OFBKKLGO_00003_group_16074,SSF55174,Alpha-L RNA-binding motif,,SUPERFAMILY,1.75,4-67
OFBKKLGO_00004_recF,SSF52540,P-loop containing nucleoside triphosphate hydrolases,,SUPERFAMILY,1.75,2-350
OFBKKLGO_00009_guaB,SSF54631,CBS-domain pair,,SUPERFAMILY,1.75,66-208
OFBKKLGO_00009_guaB,SSF51412,Inosine monophosphate dehydrogenase (IMPDH),,SUPERFAMILY,1.75,6-478
OFBKKLGO_00010_dacA,SSF56601,beta-lactamase/transpeptidase-like,,SUPERFAMILY,1.75,9-307
OFBKKLGO_00010_dacA,SSF69189,Penicillin-binding protein associated domain,,SUPERFAMILY,1.75,301-391
OFBKKLGO_00011_pdxS,SSF51366,Ribulose-phoshate binding barrel,,SUPERFAMILY,1.75,18-269
OFBKKLGO_00012_pdxT,SSF52317,Class I glutamine amidotransferase-like,,SUPERFAMILY,1.75,3-188
OFBKKLGO_00014_serS,SSF55681,Class II aaRS and biotin synthetases,,SUPERFAMILY,1.75,117-422
OFBKKLGO_00014_serS,SSF46589,tRNA-binding arm,,SUPERFAMILY,1.75,1-113
OFBKKLGO_00016_dck,SSF52540,P-loop containing nucleoside triphosphate hydrolases,,SUPERFAMILY,1.75,8-211
OFBKKLGO_00017_dgk,SSF52540,P-loop containing nucleoside triphosphate hydrolases,,SUPERFAMILY,1.75,1-205
OFBKKLGO_00018_sleL,SSF54106,LysM domain,,SUPERFAMILY,1.75,1-42
OFBKKLGO_00018_sleL,SSF51445,(Trans)glycosidases,,SUPERFAMILY,1.75,124-422
OFBKKLGO_00018_sleL,SSF54106,LysM domain,,SUPERFAMILY,1.75,46-91
OFBKKLGO_00022_dnaX,SSF52540,P-loop containing nucleoside triphosphate hydrolases,,SUPERFAMILY,1.75,31-222
OFBKKLGO_00022_dnaX,SSF48019,post-AAA+ oligomerization domain-like,,SUPERFAMILY,1.75,244-362
OFBKKLGO_00023_group_15927,SSF82607,YbaB-like,,SUPERFAMILY,1.75,12-106
OFBKKLGO_00032_tmk,SSF52540,P-loop containing nucleoside triphosphate hydrolases,,SUPERFAMILY,1.75,1-210
OFBKKLGO_00033_darA,SSF54913,GlnB-like,,SUPERFAMILY,1.75,1-107
OFBKKLGO_00034_group_4391,SSF158397,TM1646-like,,SUPERFAMILY,1.75,28-146
OFBKKLGO_00035_group_5764,SSF52540,P-loop containing nucleoside triphosphate hydrolases,,SUPERFAMILY,1.75,5-191
OFBKKLGO_00038_yfiC,SSF53335,S-adenosyl-L-methionine-dependent methyltransferases,,SUPERFAMILY,1.75,16-198
