Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00010_dacA,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-31
OFBKKLGO_00163_gerD,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-26
OFBKKLGO_00176_feuA,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-28
OFBKKLGO_00178_group_5792,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-23
OFBKKLGO_00179_nagZ,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-20
OFBKKLGO_00188_cdaR_1,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-31
OFBKKLGO_00209_yolA,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-29
OFBKKLGO_00256_estA,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-32
OFBKKLGO_00268_znuA,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-24
OFBKKLGO_00282_opuAC,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-31
OFBKKLGO_00312_group_3426,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-24
OFBKKLGO_00328_tcyA,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-25
OFBKKLGO_00338_gerBC_1,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-10
OFBKKLGO_00342_yxeM,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-27
OFBKKLGO_00358_yclQ,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-25
OFBKKLGO_00370_ycnJ,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-25
OFBKKLGO_00386_group_3439,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-19
OFBKKLGO_00388_mrdA,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-26
OFBKKLGO_00403_group_954,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-27
OFBKKLGO_00447_ydcC,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-27
OFBKKLGO_00531_ydhK,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-33
OFBKKLGO_00578_ydjM_1,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-27
OFBKKLGO_00612_group_2143,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-26
OFBKKLGO_00614_yerB,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-25
OFBKKLGO_00620_group_5871,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-26
OFBKKLGO_00679_pel,SignalP-TM,SignalP-TM,,SIGNALP_GRAM_POSITIVE,4.1,1-21
