Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00001_dnaA_1,PF08299,Bac_DnaA_C,Bacterial dnaA protein helix-turn-helix,PFAM,33.1,356-424
OFBKKLGO_00001_dnaA_1,PF11638,DnaA_N,DnaA N-terminal domain,PFAM,33.1,7-65
OFBKKLGO_00001_dnaA_1,PF00308,Bac_DnaA,Bacterial dnaA  protein,PFAM,33.1,111-327
OFBKKLGO_00002_dnaN,PF02768,DNA_pol3_beta_3,"DNA polymerase III beta subunit, C-terminal domain",PFAM,33.1,254-376
OFBKKLGO_00002_dnaN,PF02767,DNA_pol3_beta_2,"DNA polymerase III beta subunit, central domain",PFAM,33.1,136-251
OFBKKLGO_00002_dnaN,PF00712,DNA_pol3_beta,"DNA polymerase III beta subunit, N-terminal domain",PFAM,33.1,1-127
OFBKKLGO_00003_group_16074,PF13275,S4_2,S4 domain,PFAM,33.1,5-69
OFBKKLGO_00004_recF,PF02463,SMC_N,RecF/RecN/SMC N terminal domain,PFAM,33.1,2-348
OFBKKLGO_00008_group_1681,PF14175,YaaC,YaaC-like Protein,PFAM,33.1,22-108
OFBKKLGO_00009_guaB,PF00571,CBS,CBS domain,PFAM,33.1,97-144;153-204
OFBKKLGO_00009_guaB,PF00478,IMPDH,IMP dehydrogenase / GMP reductase domain,PFAM,33.1,10-474
OFBKKLGO_00010_dacA,PF07943,PBP5_C,"Penicillin-binding protein 5, C-terminal domain",PFAM,33.1,310-413
OFBKKLGO_00010_dacA,PF00768,Peptidase_S11,D-alanyl-D-alanine carboxypeptidase,PFAM,33.1,34-287
OFBKKLGO_00011_pdxS,PF01680,SOR_SNZ,SOR/SNZ family,PFAM,33.1,7-212
OFBKKLGO_00012_pdxT,PF01174,SNO,SNO glutamine amidotransferase family,PFAM,33.1,6-188
OFBKKLGO_00014_serS,PF02403,Seryl_tRNA_N,Seryl-tRNA synthetase N-terminal domain,PFAM,33.1,1-108
OFBKKLGO_00014_serS,PF00587,tRNA-synt_2b,"tRNA synthetase class II core domain (G, H, P, S and T)",PFAM,33.1,220-400
OFBKKLGO_00016_dck,PF01712,dNK,Deoxynucleoside kinase,PFAM,33.1,12-211
OFBKKLGO_00017_dgk,PF01712,dNK,Deoxynucleoside kinase,PFAM,33.1,7-207
OFBKKLGO_00018_sleL,PF01476,LysM,LysM domain,PFAM,33.1,48-91;1-42
OFBKKLGO_00018_sleL,PF00704,Glyco_hydro_18,Glycosyl hydrolases family 18,PFAM,33.1,147-404
OFBKKLGO_00022_dnaX,PF12169,DNA_pol3_gamma3,DNA polymerase III subunits gamma and tau domain III,PFAM,33.1,240-362
OFBKKLGO_00022_dnaX,PF13177,DNA_pol3_delta2,"DNA polymerase III, delta subunit",PFAM,33.1,20-178
OFBKKLGO_00023_group_15927,PF02575,YbaB_DNA_bd,YbaB/EbfC DNA-binding family,PFAM,33.1,12-102
OFBKKLGO_00025_group_5762,PF10704,DUF2508,Protein of unknown function (DUF2508),PFAM,33.1,4-69
OFBKKLGO_00028_csfB,PF10764,Gin,Inhibitor of sigma-G Gin,PFAM,33.1,11-55
OFBKKLGO_00032_tmk,PF02223,Thymidylate_kin,Thymidylate kinase,PFAM,33.1,8-197
OFBKKLGO_00033_darA,PF06153,CdAMP_rec,Cyclic-di-AMP receptor,PFAM,33.1,1-109
OFBKKLGO_00034_group_4391,PF03885,DUF327,Protein of unknown function (DUF327),PFAM,33.1,13-145
OFBKKLGO_00035_group_5764,PF09115,DNApol3-delta_C,"DNA polymerase III, delta subunit, C terminal",PFAM,33.1,233-319
OFBKKLGO_00035_group_5764,PF13177,DNA_pol3_delta2,"DNA polymerase III, delta subunit",PFAM,33.1,5-162
OFBKKLGO_00036_group_15993,PF04468,PSP1,PSP1 C-terminal conserved region,PFAM,33.1,62-146
OFBKKLGO_00037_yabA,PF06156,YabA,Initiation control protein YabA,PFAM,33.1,1-114
OFBKKLGO_00038_yfiC,PF13649,Methyltransf_25,Methyltransferase domain,PFAM,33.1,49-142
OFBKKLGO_00039_group_821,PF01541,GIY-YIG,GIY-YIG catalytic domain,PFAM,33.1,6-77
OFBKKLGO_00040_rsmI,PF00590,TP_methylase,Tetrapyrrole (Corrin/Porphyrin) Methylases,PFAM,33.1,17-215
OFBKKLGO_00041_abrB,PF18277,AbrB_C,AbrB C-terminal domain,PFAM,33.1,53-88
OFBKKLGO_00041_abrB,PF04014,MazE_antitoxin,"Antidote-toxin recognition MazE, bacterial antitoxin",PFAM,33.1,8-50
OFBKKLGO_00042_metG,PF09334,tRNA-synt_1g,tRNA synthetases class I (M),PFAM,33.1,9-374
OFBKKLGO_00042_metG,PF08264,Anticodon_1,Anticodon-binding domain of tRNA ligase,PFAM,33.1,397-547
OFBKKLGO_00042_metG,PF01588,tRNA_bind,Putative tRNA binding domain,PFAM,33.1,569-660
OFBKKLGO_00044_group_2629,PF03990,DUF348,G5-linked-Ubiquitin-like domain,PFAM,33.1,77-115;137-174;191-230
OFBKKLGO_00044_group_2629,PF06725,3D,3D domain,PFAM,33.1,378-439
OFBKKLGO_00044_group_2629,PF07501,G5,G5 domain,PFAM,33.1,249-322
