Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00001_dnaA_1,Coil,Coil,,COILS,2.2.1,424-444
OFBKKLGO_00014_serS,Coil,Coil,,COILS,2.2.1,69-96
OFBKKLGO_00014_serS,Coil,Coil,,COILS,2.2.1,31-65
OFBKKLGO_00017_dgk,Coil,Coil,,COILS,2.2.1,152-172
OFBKKLGO_00022_dnaX,Coil,Coil,,COILS,2.2.1,371-398
OFBKKLGO_00022_dnaX,Coil,Coil,,COILS,2.2.1,258-278
OFBKKLGO_00023_group_15927,Coil,Coil,,COILS,2.2.1,8-35
OFBKKLGO_00025_group_5762,Coil,Coil,,COILS,2.2.1,11-31
OFBKKLGO_00037_yabA,Coil,Coil,,COILS,2.2.1,3-23
OFBKKLGO_00037_yabA,Coil,Coil,,COILS,2.2.1,38-72
OFBKKLGO_00040_rsmI,Coil,Coil,,COILS,2.2.1,145-169
OFBKKLGO_00045_rnmV_1,Coil,Coil,,COILS,2.2.1,173-187
OFBKKLGO_00047_yabG,Coil,Coil,,COILS,2.2.1,69-89
OFBKKLGO_00059_mfd,Coil,Coil,,COILS,2.2.1,622-642
OFBKKLGO_00059_mfd,Coil,Coil,,COILS,2.2.1,308-328
OFBKKLGO_00066_divIC,Coil,Coil,,COILS,2.2.1,63-97
OFBKKLGO_00080_pabC,Coil,Coil,,COILS,2.2.1,48-68
OFBKKLGO_00086_lysS,Coil,Coil,,COILS,2.2.1,1-28
OFBKKLGO_00089_mcsA,Coil,Coil,,COILS,2.2.1,76-122
OFBKKLGO_00091_clpC,Coil,Coil,,COILS,2.2.1,440-460
OFBKKLGO_00091_clpC,Coil,Coil,,COILS,2.2.1,414-434
OFBKKLGO_00099_cysE,Coil,Coil,,COILS,2.2.1,193-217
OFBKKLGO_00100_cysS,Coil,Coil,,COILS,2.2.1,309-329
OFBKKLGO_00100_cysS,Coil,Coil,,COILS,2.2.1,413-440
OFBKKLGO_00103_yacP,Coil,Coil,,COILS,2.2.1,77-97
OFBKKLGO_00104_sigH,Coil,Coil,,COILS,2.2.1,193-213
OFBKKLGO_00110_rplJ,Coil,Coil,,COILS,2.2.1,38-58
OFBKKLGO_00111_rplL,Coil,Coil,,COILS,2.2.1,103-123
OFBKKLGO_00113_rpoB,Coil,Coil,,COILS,2.2.1,1147-1167
OFBKKLGO_00114_rpoC,Coil,Coil,,COILS,2.2.1,666-686
OFBKKLGO_00118_fusA,Coil,Coil,,COILS,2.2.1,204-227
OFBKKLGO_00128_rpsC,Coil,Coil,,COILS,2.2.1,120-140
OFBKKLGO_00147_rpsM,Coil,Coil,,COILS,2.2.1,46-66
OFBKKLGO_00149_rpoA,Coil,Coil,,COILS,2.2.1,231-251
OFBKKLGO_00163_gerD,Coil,Coil,,COILS,2.2.1,166-185
OFBKKLGO_00176_feuA,Coil,Coil,,COILS,2.2.1,157-191
OFBKKLGO_00179_nagZ,Coil,Coil,,COILS,2.2.1,416-436
OFBKKLGO_00210_csgA,Coil,Coil,,COILS,2.2.1,53-73
OFBKKLGO_00222_group_2645,Coil,Coil,,COILS,2.2.1,137-156
OFBKKLGO_00229_group_5798,Coil,Coil,,COILS,2.2.1,296-316
OFBKKLGO_00277_group_16236,Coil,Coil,,COILS,2.2.1,341-361
OFBKKLGO_00277_group_16236,Coil,Coil,,COILS,2.2.1,194-214
OFBKKLGO_00277_group_16236,Coil,Coil,,COILS,2.2.1,137-157
OFBKKLGO_00303_putR_1,Coil,Coil,,COILS,2.2.1,142-162
OFBKKLGO_00312_group_3426,Coil,Coil,,COILS,2.2.1,36-56
OFBKKLGO_00316_hxlB,Coil,Coil,,COILS,2.2.1,181-185
OFBKKLGO_00326_tcyC,Coil,Coil,,COILS,2.2.1,107-127
OFBKKLGO_00329_gltC_1,Coil,Coil,,COILS,2.2.1,66-89
OFBKKLGO_00333_group_831,Coil,Coil,,COILS,2.2.1,141-153
OFBKKLGO_00350_rcsC_1,Coil,Coil,,COILS,2.2.1,228-255
OFBKKLGO_00350_rcsC_1,Coil,Coil,,COILS,2.2.1,326-353
OFBKKLGO_00358_yclQ,Coil,Coil,,COILS,2.2.1,165-185
