Query_ID,Subject_ID,Identity,Alignment Length,Mismatches
OFBKKLGO_00001_dnaA_1,BS_dnaA [L] COG0593 ATPase involved in DNA replication initiation,97.5,446,11
OFBKKLGO_00002_dnaN,BS_dnaN [L] COG0592 DNA polymerase sliding clamp subunit (PCNA homolog),95.2,378,18
OFBKKLGO_00003_group_16074,BS_yaaA [S] COG2501 Uncharacterized conserved protein,95.8,71,3
OFBKKLGO_00004_recF,BS_recF [L] COG1195 Recombinational DNA repair ATPase (RecF pathway),94.6,370,20
OFBKKLGO_00009_guaB,BS_guaB_3 [F] COG0516 IMP dehydrogenase/GMP reductase,96.1,283,11
OFBKKLGO_00010_dacA,BS_dacA [M] COG1686 D-alanyl-D-alanine carboxypeptidase,80.2,445,84
OFBKKLGO_00011_pdxS,BS_yaaD [H] COG0214 Pyridoxine biosynthesis enzyme,98.3,294,5
OFBKKLGO_00012_pdxT,BS_yaaE [H] COG0311 Predicted glutamine amidotransferase involved in pyridoxine biosynthesis,87.8,196,24
OFBKKLGO_00014_serS,BS_serS [J] COG0172 Seryl-tRNA synthetase,88.7,425,48
OFBKKLGO_00016_dck,BS_yaaF [F] COG1428 Deoxynucleoside kinases,84.3,217,34
OFBKKLGO_00017_dgk,BS_yaaG [F] COG1428 Deoxynucleoside kinases,79.6,206,42
OFBKKLGO_00018_sleL,BS_yaaH [R] COG3858 Predicted glycosyl hydrolase,79.2,427,87
OFBKKLGO_00022_dnaX,"BS_dnaX [L] COG2812 DNA polymerase III, gamma/tau subunits",90.4,563,54
OFBKKLGO_00023_group_15927,BS_yaaK [S] COG0718 Uncharacterized protein conserved in bacteria,90.7,107,10
OFBKKLGO_00032_tmk,BS_tmk [F] COG0125 Thymidylate kinase,82.1,212,38
OFBKKLGO_00033_darA,BS_yaaQ [S] COG3870 Uncharacterized protein conserved in bacteria,97.2,109,3
OFBKKLGO_00034_group_4391,BS_yaaR [S] COG1728 Uncharacterized protein conserved in bacteria,80.8,146,28
OFBKKLGO_00035_group_5764,BS_holB [L] COG0470 ATPase involved in DNA replication,90.7,322,30
OFBKKLGO_00036_group_15993,BS_yaaT [S] COG1774 Uncharacterized homolog of PSP1,96.7,275,9
OFBKKLGO_00037_yabA,BS_yabA [S] COG4467 Uncharacterized protein conserved in bacteria,93.3,119,8
OFBKKLGO_00038_yfiC,BS_yabB [R] COG4123 Predicted O-methyltransferase,90.7,247,23
OFBKKLGO_00039_group_821,BS_yazA [L] COG2827 Predicted endonuclease containing a URI domain,79.6,98,20
OFBKKLGO_00040_rsmI,BS_yabC [R] COG0313 Predicted methyltransferases,83.9,292,46
OFBKKLGO_00041_abrB,BS_abrB [K] COG2002 Regulators of stationary/sporulation gene expression,97.9,94,2
OFBKKLGO_00042_metG,BS_metS_1 [J] COG0143 Methionyl-tRNA synthetase,92.4,539,41
OFBKKLGO_00044_group_2629,BS_yabE_1 [S] COG3583 Uncharacterized protein conserved in bacteria,70.0,327,98
OFBKKLGO_00045_rnmV_1,BS_yabF [L] COG1658 Small primase-like proteins (Toprim domain),90.9,186,17
OFBKKLGO_00046_rsmA,BS_ksgA [J] COG0030 Dimethyladenosine transferase (rRNA methylation),93.1,291,20
OFBKKLGO_00048_veg,BS_veg [S] COG4466 Uncharacterized protein conserved in bacteria,100.0,86,0
OFBKKLGO_00050_ispE,BS_yabH [I] COG1947 4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate synthase,90.0,289,29
OFBKKLGO_00051_purR,BS_purR [F] COG0503 Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins,93.7,284,18
OFBKKLGO_00052_yabJ,"BS_yabJ [J] COG0251 Putative translation initiation inhibitor, yjgF family",94.4,125,7
OFBKKLGO_00053_spoVG,"BS_spoVG [M] COG2088 Uncharacterized protein, involved in the regulation of septum location",95.9,97,4
OFBKKLGO_00054_glmU,BS_gcaD [M] COG1207 N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains),88.4,456,53
OFBKKLGO_00055_prs,BS_prs [FE] COG0462 Phosphoribosylpyrophosphate synthetase,96.2,317,12
OFBKKLGO_00056_ctc,BS_ctc [J] COG1825 Ribosomal protein L25 (general stress protein Ctc),70.9,203,58
OFBKKLGO_00057_pth,BS_spoVC [J] COG0193 Peptidyl-tRNA hydrolase,88.3,188,22
OFBKKLGO_00059_mfd,BS_mfd [LK] COG1197 Transcription-repair coupling factor (superfamily II helicase),90.8,1177,108
OFBKKLGO_00061_murJ_1,BS_yabM [R] COG2244 Membrane protein involved in the export of O-antigen and teichoic acid,66.1,531,174
OFBKKLGO_00062_group_3077,BS_yabN [R] COG3956 Protein containing tetrapyrrole methyltransferase domain and MazG-like (predicted pyrophosphatase) domain,76.1,490,115
OFBKKLGO_00063_group_5774,BS_yabO [J] COG1188 Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog),91.9,86,7
OFBKKLGO_00066_divIC,BS_divIC [D] COG2919 Septum formation initiator,84.0,125,20
OFBKKLGO_00067_pnp_1,BS_yabR [J] COG1098 Predicted RNA binding protein (contains ribosomal protein S1 domain),99.2,128,1
OFBKKLGO_00069_group_16125,BS_yabS [R] COG2304 Uncharacterized protein containing a von Willebrand factor type A (vWA) domain,93.5,245,16
OFBKKLGO_00071_tilS,BS_yacA [D] COG0037 Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,78.3,470,102
OFBKKLGO_00072_hpt,BS_hprT [F] COG0634 Hypoxanthine-guanine phosphoribosyltransferase,95.5,179,8
OFBKKLGO_00073_ftsH,BS_ftsH [O] COG0465 ATP-dependent Zn proteases,96.4,639,21
OFBKKLGO_00074_coaX,"BS_yacB [K] COG1521 Putative transcriptional regulator, homolog of Bvg accessory factor",93.6,204,13
OFBKKLGO_00075_hslO,BS_yacC [O] COG1281 Disulfide bond chaperones of the HSP33 family,90.4,291,28
OFBKKLGO_00077_cysK_1,BS_cysK [E] COG0031 Cysteine synthase,92.5,308,23
OFBKKLGO_00078_pabB,BS_pabB [EH] COG0147 Anthranilate/para-aminobenzoate synthases component I,83.8,469,75
OFBKKLGO_00079_pabA,BS_pabA [EH] COG0512 Anthranilate/para-aminobenzoate synthases component II,89.6,193,20
OFBKKLGO_00080_pabC,BS_pabC [EH] COG0115 Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,70.0,280,84
OFBKKLGO_00081_folP,BS_sul [H] COG0294 Dihydropteroate synthase and related enzymes,84.9,285,43
OFBKKLGO_00082_folB,BS_folA [H] COG1539 Dihydroneopterin aldolase,90.8,120,11
OFBKKLGO_00083_sulD,"BS_folK [H] COG0801 7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase",80.8,167,32
OFBKKLGO_00085_dusB,BS_yacF [J] COG0042 tRNA-dihydrouridine synthase,93.1,333,23
OFBKKLGO_00086_lysS,BS_lysS [J] COG1190 Lysyl-tRNA synthetase (class II),94.4,499,28
OFBKKLGO_00088_ctsR,BS_ctsR [K] COG4463 Transcriptional repressor of class III stress genes,96.8,154,5
OFBKKLGO_00089_mcsA,BS_yacH [S] COG3880 Uncharacterized protein with conserved CXXC pairs,73.6,125,33
OFBKKLGO_00090_mcsB,BS_yacI [E] COG3869 Arginine kinase,90.9,363,33
OFBKKLGO_00091_clpC,"BS_clpC [O] COG0542 ATPases with chaperone activity, ATP-binding subunit",96.3,811,29
OFBKKLGO_00093_disA,BS_yacK [R] COG1623 Predicted nucleic-acid-binding protein (contains the HHH domain),94.7,360,19
OFBKKLGO_00094_yacL,BS_yacL [R] COG4956 Integral membrane protein (PIN domain superfamily),95.9,366,15
OFBKKLGO_00095_ispD,BS_yacM [I] COG1211 4-diphosphocytidyl-2-methyl-D-erithritol synthase,72.8,232,63
OFBKKLGO_00096_ispF,"BS_yacN [I] COG0245 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",94.9,157,8
OFBKKLGO_00097_gltX,BS_gltX [J] COG0008 Glutamyl- and glutaminyl-tRNA synthetases,95.0,483,24
OFBKKLGO_00099_cysE,BS_cysE [E] COG1045 Serine acetyltransferase,90.8,217,20
OFBKKLGO_00100_cysS,BS_cysS [J] COG0215 Cysteinyl-tRNA synthetase,92.7,466,34
OFBKKLGO_00101_mrnC,BS_yazC [S] COG1939 Uncharacterized protein conserved in bacteria,86.7,143,19
OFBKKLGO_00102_group_5781,BS_yacO [J] COG0566 rRNA methylases,94.0,249,15
OFBKKLGO_00103_yacP,BS_yacP [R] COG3688 Predicted RNA-binding protein containing a PIN domain,92.9,170,12
OFBKKLGO_00104_sigH,"BS_sigH [K] COG1595 DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",97.2,218,6
OFBKKLGO_00105_secE,BS_secE [U] COG0690 Preprotein translocase subunit SecE,96.6,59,2
OFBKKLGO_00106_nusG_1,BS_nusG [K] COG0250 Transcription antiterminator,98.3,177,3
OFBKKLGO_00107_rplK,BS_rplK [J] COG0080 Ribosomal protein L11,99.3,140,1
OFBKKLGO_00108_rplA,BS_rplA [J] COG0081 Ribosomal protein L1,95.7,232,10
OFBKKLGO_00110_rplJ,BS_rplJ [J] COG0244 Ribosomal protein L10,94.6,166,9
OFBKKLGO_00111_rplL,BS_rplL [J] COG0222 Ribosomal protein L7/L12,100.0,123,0
OFBKKLGO_00112_rlmG,BS_ybxB [J] COG2813 16S RNA G1207 methylase RsmC,87.1,201,26
