Query_ID,Accession,Name,Description,Library,Library Release,Start_End
OFBKKLGO_00001_dnaA_1,PTHR30050,CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA,,PANTHER,14.1,1-446
OFBKKLGO_00001_dnaA_1,PTHR30050:SF2,CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA,,PANTHER,14.1,1-446
OFBKKLGO_00002_dnaN,PTHR30478,DNA POLYMERASE III SUBUNIT BETA,,PANTHER,14.1,1-377
OFBKKLGO_00003_group_16074,PTHR32319,FAMILY NOT NAMED,,PANTHER,14.1,5-63
OFBKKLGO_00003_group_16074,PTHR32319:SF3,,,PANTHER,14.1,5-63
OFBKKLGO_00004_recF,PTHR32182:SF0,DNA REPLICATION AND REPAIR PROTEIN RECF,,PANTHER,14.1,3-368
OFBKKLGO_00004_recF,PTHR32182,FAMILY NOT NAMED,,PANTHER,14.1,3-368
OFBKKLGO_00009_guaB,PTHR11911:SF111,INOSINE-5'-MONOPHOSPHATE DEHYDROGENASE,,PANTHER,14.1,7-483
OFBKKLGO_00009_guaB,PTHR11911,INOSINE-5-MONOPHOSPHATE DEHYDROGENASE RELATED,,PANTHER,14.1,7-483
OFBKKLGO_00010_dacA,PTHR21581:SF11,,,PANTHER,14.1,7-435
OFBKKLGO_00010_dacA,PTHR21581,D-ALANYL-D-ALANINE CARBOXYPEPTIDASE,,PANTHER,14.1,7-435
OFBKKLGO_00011_pdxS,PTHR31829,FAMILY NOT NAMED,,PANTHER,14.1,3-293
OFBKKLGO_00011_pdxS,PTHR31829:SF0,PYRIDOXAL 5'-PHOSPHATE SYNTHASE SUBUNIT SNZ1-RELATED,,PANTHER,14.1,3-293
OFBKKLGO_00012_pdxT,PTHR31559:SF0,PYRIDOXAL 5'-PHOSPHATE SYNTHASE SUBUNIT SNO1-RELATED,,PANTHER,14.1,1-194
OFBKKLGO_00012_pdxT,PTHR31559,FAMILY NOT NAMED,,PANTHER,14.1,1-194
OFBKKLGO_00014_serS,PTHR43697,FAMILY NOT NAMED,,PANTHER,14.1,1-424
OFBKKLGO_00016_dck,PTHR10513:SF40,,,PANTHER,14.1,5-217
OFBKKLGO_00016_dck,PTHR10513,DEOXYNUCLEOSIDE KINASE,,PANTHER,14.1,5-217
OFBKKLGO_00017_dgk,PTHR10513:SF15,"NADH DEHYDROGENASE [UBIQUINONE] 1 ALPHA SUBCOMPLEX SUBUNIT 10, MITOCHONDRIAL",,PANTHER,14.1,3-200
OFBKKLGO_00017_dgk,PTHR10513,DEOXYNUCLEOSIDE KINASE,,PANTHER,14.1,3-200
OFBKKLGO_00018_sleL,PTHR46290:SF3,,,PANTHER,14.1,16-423
OFBKKLGO_00018_sleL,PTHR46290,FAMILY NOT NAMED,,PANTHER,14.1,16-423
OFBKKLGO_00022_dnaX,PTHR11669,REPLICATION FACTOR C / DNA POLYMERASE III GAMMA-TAU SUBUNIT,,PANTHER,14.1,3-483
OFBKKLGO_00022_dnaX,PTHR11669:SF0,PROTEIN STICHEL-LIKE 1,,PANTHER,14.1,3-483
OFBKKLGO_00023_group_15927,PTHR33449,FAMILY NOT NAMED,,PANTHER,14.1,5-106
OFBKKLGO_00023_group_15927,PTHR33449:SF1,NUCLEOID-ASSOCIATED PROTEIN YBAB,,PANTHER,14.1,5-106
OFBKKLGO_00032_tmk,PTHR10344,THYMIDYLATE KINASE,,PANTHER,14.1,1-207
OFBKKLGO_00032_tmk,PTHR10344:SF4,THYMIDYLATE KINASE,,PANTHER,14.1,1-207
OFBKKLGO_00033_darA,PTHR38456,FAMILY NOT NAMED,,PANTHER,14.1,1-109
OFBKKLGO_00035_group_5764,PTHR11669,REPLICATION FACTOR C / DNA POLYMERASE III GAMMA-TAU SUBUNIT,,PANTHER,14.1,4-320
OFBKKLGO_00035_group_5764,PTHR11669:SF8,DNA POLYMERASE III SUBUNIT DELTA',,PANTHER,14.1,4-320
OFBKKLGO_00036_group_15993,PTHR43830:SF3,,,PANTHER,14.1,2-262
OFBKKLGO_00036_group_15993,PTHR43830,FAMILY NOT NAMED,,PANTHER,14.1,2-262
OFBKKLGO_00038_yfiC,PTHR47739,FAMILY NOT NAMED,,PANTHER,14.1,1-243
OFBKKLGO_00039_group_821,PTHR34477:SF1,UPF0213 PROTEIN YHBQ,,PANTHER,14.1,1-93
OFBKKLGO_00039_group_821,PTHR34477,FAMILY NOT NAMED,,PANTHER,14.1,1-93
OFBKKLGO_00040_rsmI,PTHR46111:SF1,RIBOSOMAL RNA SMALL SUBUNIT METHYLTRANSFERASE I,,PANTHER,14.1,12-290
OFBKKLGO_00040_rsmI,PTHR46111,FAMILY NOT NAMED,,PANTHER,14.1,12-290
OFBKKLGO_00041_abrB,PTHR36432:SF4,,,PANTHER,14.1,1-92
OFBKKLGO_00041_abrB,PTHR36432,FAMILY NOT NAMED,,PANTHER,14.1,1-92
OFBKKLGO_00042_metG,PTHR43326,FAMILY NOT NAMED,,PANTHER,14.1,1-526
OFBKKLGO_00042_metG,PTHR43326:SF1,"METHIONINE--TRNA LIGASE, MITOCHONDRIAL",,PANTHER,14.1,1-526
OFBKKLGO_00044_group_2629,PTHR39160:SF4,,,PANTHER,14.1,38-439
OFBKKLGO_00044_group_2629,PTHR39160,FAMILY NOT NAMED,,PANTHER,14.1,38-439
OFBKKLGO_00045_rnmV_1,PTHR39156:SF1,,,PANTHER,14.1,2-184
OFBKKLGO_00045_rnmV_1,PTHR39156,FAMILY NOT NAMED,,PANTHER,14.1,2-184
OFBKKLGO_00046_rsmA,PTHR11727,DIMETHYLADENOSINE TRANSFERASE,,PANTHER,14.1,13-287
OFBKKLGO_00048_veg,PTHR40026,FAMILY NOT NAMED,,PANTHER,14.1,1-84
OFBKKLGO_00050_ispE,PTHR43527,FAMILY NOT NAMED,,PANTHER,14.1,6-278
OFBKKLGO_00050_ispE,PTHR43527:SF2,"4-DIPHOSPHOCYTIDYL-2-C-METHYL-D-ERYTHRITOL KINASE, CHLOROPLASTIC",,PANTHER,14.1,6-278
OFBKKLGO_00051_purR,PTHR43864:SF2,,,PANTHER,14.1,1-271
OFBKKLGO_00051_purR,PTHR43864,FAMILY NOT NAMED,,PANTHER,14.1,1-271
OFBKKLGO_00052_yabJ,PTHR11803:SF13,,,PANTHER,14.1,1-123
OFBKKLGO_00052_yabJ,PTHR11803,2-IMINOBUTANOATE/2-IMINOPROPANOATE DEAMINASE RIDA,,PANTHER,14.1,1-123
OFBKKLGO_00053_spoVG,PTHR38429,FAMILY NOT NAMED,,PANTHER,14.1,2-94
OFBKKLGO_00054_glmU,PTHR43584,FAMILY NOT NAMED,,PANTHER,14.1,4-455
OFBKKLGO_00054_glmU,PTHR43584:SF3,BIFUNCTIONAL PROTEIN GLMU,,PANTHER,14.1,4-455
OFBKKLGO_00055_prs,PTHR10210,RIBOSE-PHOSPHATE DIPHOSPHOKINASE FAMILY MEMBER,,PANTHER,14.1,7-316
OFBKKLGO_00055_prs,PTHR10210:SF41,RIBOSE-PHOSPHATE PYROPHOSPHOKINASE,,PANTHER,14.1,7-316
OFBKKLGO_00056_ctc,PTHR33284,FAMILY NOT NAMED,,PANTHER,14.1,3-192
OFBKKLGO_00056_ctc,PTHR33284:SF1,"RIBOSOMAL PROTEIN L25/GLN-TRNA SYNTHETASE, ANTI-CODON-BINDING DOMAIN-CONTAINING PROTEIN",,PANTHER,14.1,3-192
OFBKKLGO_00057_pth,PTHR17224,PEPTIDYL-TRNA HYDROLASE,,PANTHER,14.1,2-186
