Genome Number	NCBI Accession	
1	GCA_000195515.1	
2	GCA_000196735.1	
3	GCA_000204275.1	
4	GCA_000221645.1	
5	GCA_000242855.2	
6	GCA_000262385.1	
7	GCA_000465655.1	
8	GCA_000469015.2	
9	GCA_000494835.1	
10	GCA_000508265.1	
11	GCA_000559145.1	
12	GCA_000747705.1	
13	GCA_000750045.1	
14	GCA_000784675.1	
15	GCA_000817575.1	
16	GCA_000835145.1	
17	GCA_001077735.1	
18	GCA_001278635.1	
19	GCA_001286945.1	
20	GCA_001286965.1	
21	GCA_001294785.1	
22	GCA_001431285.1	
23	GCA_001469685.1	
24	GCA_001483885.1	
25	GCA_001558705.1	
26	GCA_001586105.1	
27	GCA_001587325.1	
28	GCA_001587435.1	
29	GCA_001593765.1	
30	GCA_001593785.1	
31	GCA_001596755.1	
32	GCA_001617995.1	
33	GCA_001619745.1	
34	GCA_001672615.1	
35	GCA_001687185.1	
36	GCA_001705195.1	
37	GCA_001866745.1	
38	GCA_001874385.1	
39	GCA_001889285.1	
40	GCA_001922005.1	
41	GCA_002024555.1	
42	GCA_002173635.1	
43	GCA_002209305.1	
44	GCA_002864145.1	
45	GCA_003149695.1	
46	GCA_003149715.1	
47	GCA_003149795.1	
48	GCA_003312895.1	
49	GCA_003337795.1	
50	GCA_003382375.1	
51	GCA_003546075.1	
52	GCA_003868675.1	
53	GCA_004006115.1	
54	GCA_004421045.1	
55	GCA_004804235.1	
56	GCA_004804245.1	
57	GCA_005048195.1	
58	GCA_007362635.1	
59	GCA_007827165.1	
60	GCA_007844995.1	
61	GCA_007845085.1	
62	GCA_007923205.1	
63	GCA_008017555.1	
64	GCA_008017565.1	
65	GCA_008017625.1	
66	GCA_008534375.1	
67	GCA_008808015.1	
68	GCA_008824205.1	
69	GCA_009933355.1	
70	GCA_011317125.1	
71	GCA_011421515.1	
72	GCA_011440355.1	
73	GCA_011754125.1	
74	GCA_013122255.1	
75	GCA_013328835.1	
76	GCA_013341255.1	
77	GCA_013346105.1	
78	GCA_013346165.1	
79	GCA_013346175.1	
80	GCA_013346205.1	
81	GCA_013346215.1	
82	GCA_013346225.1	
83	GCA_013346265.1	
84	GCA_013346285.1	
85	GCA_013346305.1	
86	GCA_013423695.1	
87	GCA_014622745.1	
88	GCA_014791945.1	
89	GCA_014792065.1	
90	GCA_014840205.2	
91	GCA_014854735.1	
92	GCA_014930895.1	
93	GCA_015845485.1	
94	GCA_015880875.1	
95	GCA_015999565.1	
96	GCA_017357905.1	
97	GCA_017592865.1	
98	GCA_017603845.1	
99	GCA_017815555.1	
100	GCA_017824715.1	
101	GCA_017948535.1	
102	GCA_018223605.1	
103	GCA_018363035.1	
104	GCA_018502525.1	
105	GCA_018791865.1	
106	GCA_019093835.1	
107	GCA_019396925.1	
108	GCA_019458745.1	
109	GCA_019458775.1	
110	GCA_019459645.1	
111	GCA_019856555.1	
112	GCA_019880285.1	
113	GCA_019880325.1	
114	GCA_019880425.1	
115	GCA_019997305.1	
